wonderful 	 thoroughly enjoy stay Hotel Drisco . Situated Pacific Heights , hidden jewel sit among many Heritage building / home - well worth stroll see stunning architecture . room re - design update keep age character building . complimentary breakfast serve morning , well sit room enjoy read book / newspaper tea & amp ; coffee serve day . hotel quiet , comfortable staff kind helpful . look forward next trip San Francisco - Hotel Drisco hotel choice . 
 Nov 21 2009 	 Excellent Choice 	 locate high atop Pacific Heights , Hotel Drisco excellent choice SF lodging . view , neighborhood local architecture spectacular . room well appoint . enjoy upscale & quot ; happy hour & quot ; late afternoon complete fine red wine soft brie cheese delicious breakfast next morning . hotel staff exceedingly helpful . street parking easily accomplish block away . 
 Nov 17 2009 	 lovely hotel charming warm friendly . 	 husband travel friend weekend SF . ticket play Change concert Palace Fine Arts ; be one reason choose Driso ; be within walk distance Palace . lovely downhill walk elegant neighborhood . obviously , walk back uphill ! view beautiful . hotel staff genuinely friendly helpful . dining room charm ; breakfast consist variety choice ; really something everyone . thank Bob great get around hint . lovely time . definitely return . 
 Nov 14 2009 	 favorite discovery 2009 	 quiet , neighborhood hotel offer new way experience one great city world . two - day stay , everything right . , appreciate thoughtfulness kindness folk work . first last , make we feel welcome . one note : view direction gorgeous , like walk - - discover way back Drisco uphill . 
 Nov 13 2009 	 place want stay San Francisco 	 stay Hotel Drisco many time . like guest room well run home . breakfast complete many offering dine space bright cheerful . hotel situate peak Pacific Heights view beautiful . many wonderful neighberhood restaurant nearby . one good perk ability park car right hotel . staff courteous , helpful , polite . room bright , clean , quiet room sit area large closed bedroom sit area . think negative hotel . 
 Nov 10 2009 	 Superb 	 Pacific Suite perfectly fit need . in - room amenity great . receive fresh fruit daily cookie evening . breakfast buffet great ; good variety plenty food . food choice alwasy appeal fresh . the service excellent , well . staff attend need . the staff personable ! 
 Nov 4 2009 	 lovely trip excellent hotel 	 stay end October although many reviewer say location central find quite refreshing especially master bus route ! weather warmer expect room quite hot opening window help ac mean room quiet . breakfast wine hour also welcome great quality . service desk second none not think could fault quality friendliness . would hesitate stay even suite . 
 Oct 27 2009 	 unique 	 SFO load time - always business - trip tourist ; decide finally stop see SF offer . find Drisco tripadvisor . want glass & amp ; steel , center action expansive lobby hustle & amp ; bussle plus fountain & amp ; noisy bar - not come . want comfy like favorite tweed jacket , subtle elegance feeling day go past without ammentiie sacrifice - plus feel live great neighborhood -stay here . its 100 + year old -but room well appoint update bathroom , flat screen tv etc . floor creak abit -but that s part charm . 3rd floor room good view . hotel offer nice complimentary breakfast guest enjoy newspaper fresh baked good - evening wine & amp ; cheese reception also quite good . guest quiet , informal & amp ; well - heal without & quot ; stuffy ' -there couple family child ... quiet perfectly behaved . front desk anything assist - think would ask monkey deliver 5pm -they would simply ask & quot ; would like asian African & quot ; - seriously -they will go way make reservation - suggest route , recommend sight / restaurant etc . good . a / C -which think advantage -the night get cool & amp ; well way relax hear distant fog horn subtly drift across bay . hotel upscale neighborhood - hilly , walk offer great view city water plus unique architecture . staff truly customer focus -housekeeping refuse come elevator cart guest wait lift -even though wife & amp ; said & quot ; come - 's plently room & quot ; - go -guest alway first . try find even high - end chain . relaxing & amp ; refined - wear nice jean whole time feel right home - -simply great ! 
 Oct 27 2009 	 Brilliant hotel : excellent ambience service quiet civilised location 	 wonderful time quaint civilised hotel . service outstanding , everywhere immaculate room really comfortable nice place . course avoid want anonymous , large bustle hotel . boutique hotel old world charm staff recognise . breakfast excellent even free wine snack ' happy hour ' . 's place elegant neighbourhood 6 short block away nice restaurant , delis , coffee shop , bar shop Greenwich Street . 
 Oct 26 2009 	 Bent backwards we ! 	 although ' ve travel SF several time first stay Drisco . be old property , fill character , locate residential neighborhood – Pacific Heights ( $ 10 cab ride Union Square ) . web site describe property well , service need describe . right reservation phone call , endless question , many request variety thing ( ie . room fan ) staff bend backwards accommodate need , always look way make stay memorable . try get SF every two year will stay Drisco ! 
 Oct 23 2009 	 Perfect quiet spotlessly clean ! 	 Rough Guide San Francisco say & quot ; unless wed area well hotel price Downtown & quot ; - totally disagree - hotel situate post Pacific Heights extremely quiet lot place park hire car adjacent hotel pay exhorbitant parking fee . take 10 minute car and/or cab reach location city traffic never appear particularly heavy . walk waterfront 10 minute walk back 45 degree make puff pant - good ! lovely lovely room suite , excellent service front desk , adequate buffet breakfast - lovely touch like lot DVD 's watch two tv 's room . we spend first night Petite Auberge noise level inside outside hotel 24 hour transit mean could sleep - area rough . delighted stay could back area - prepare though get book . 
