worth 	 fly SF extend family gather San Fran wine country . stay hotels world expect clean well appoint room japanese hotel chain . lobby impressive really look everything chip , scratch dire need repair update . room show light color carpeting extensively stain , lamp shade dirty stain , furniture bang . ask room change explain hotel go renovation would move room complete renovation project . well , two room later gave decide go condition room . try UPSELL we checkin two three top floor ' Nikko ' floor $ 89+/night . not realize unless upgrade - would get stick ! ! ! ! 
 Nov 20 2009 	 Happy Choice 	 hotel great location , close BART station , cable car line Union Square . lobby hotel well present create appeal safe first impression . king deluxe room good size . high floor nice skyline view . front desk staff concierge courteous helpful . pool large workout area nice . find hotel room quiet . not try hotel restaurant many great restaurant area . lot great place breakfast . carpet room bite dirty bed good nothing special . nothing positive say . get good rate travel agency feel good value compare similar level properitie area . functional comfortable hotel . first trip SF not let we make great vacation . 
 Nov 19 2009 	 simply Great Hotel ! 	 stay Nikko hotel 4 night , second time San Fran disapointe hotel , return would defitely stay . upon arrival great bell service take bag guide we reception . reception / lobby impressive , huge , bright modern space lot seating . lovely reception staff check we , ask would like access pool / fitness area $ 10.00 entire stay ( two people 4 night ) say yes . hotel large plenty lift never wait long . yes standard room quite small feel cramp , well decorate clean . bed comfortable lot blanket pillow . room large flat screen tv ( plenty channel ) , desk area lot storage space . bathroom lovely , modern , shower really good , bath small / shallow find standard US hotel . great tolietire coffee making facilitire replenish daily . also give usual iron / iron board hairdryer . our room great view San Fran Bay . Daily house keep good , new towel , toiletry , coffee every daythe pool / fitness area well worth $ 10.00 fee , charge people place pretty much empty . reception area change room ( sauna steam room ) look brand new . ' use gym look good equipment could need . pool area consist resonable sized pool jacuzzi , downside pool shallow area partner ( 6 ft 2 in ) trouble swimming ! rleaxe area need day busy San Fran . we ' eat resturant look nice , use lobby bar time impressed , great bar service , lot comfprtable seating , relax atmosphere . we use business centre , internet quite expensive always hotel . add bonus ATM within hotel Starbucks entrance area . hotel also right opposite main car Hire company ' Farrell Street ( Dollar / Thifty etc ) .Location ' well , Union Square easy access great shopping / resturanet cable car . much prefer stay area touristy area Fishermans Wharf . slight problem check one bar bill add twice quickly sort out . the compliant conceige desk , lady manning desk unhelpful act like we favour help we . keep partner wait 5 minute finish computer help say quick question ! surely top priority guest ? would give hotel 5 5 ' , conceige important thing new city . 
 Nov 17 2009 	 sleepless nikko 	 husband arrive Wednesday . room clean small . hotel near everything . cable car , Powell bart , shopping galore , wonderful restuarant . return hotel evening around 9 . awaken loud fire alarm intercom message fire alarm go look situation . hear fire truck around hotel . since fall asleep wet hair get dry hair get dress get belonging wait instruction . never call . husband call say every thing okay . apology , nothing . finally go back sleep around 11 . next morning front desk , concierge , act like big deal . contact director operation . & quot ; oh will look . & quot ; Checked charge $ 15 internet service . Funny not computer . look we make sure not adjust charge . stay Hilton across street . 
 Nov 17 2009 	 quiet great location . 	 Hotel Nikko great hotel would like leave alone . drop ground floor bag take door man . instruct go first floor check . room available even we two hour check . room small update clean . bathroom modern hot water pressure could better . location great close Powell St. , Westfield Mall Macy 's . would exit ground floor go first floor get morning paper enter Starbucks . everyday leave room 9 am never see housekeeping return afternoon room always clean . recomendation ; enterprise hotel return car valet hour $ 20 fee . Cafe Daniel little corner store cash cheap friendly would suggest get big bottle water $ 1.75 beat $ 6 one room . also try Dotties Guy Fieri 's show wait hour , ok . like whiskey bluberry crumb cake otherwise get well numerous diner New Jersey . go place try italian place nothing great , place worth mention BurgerMeister Columbus pretty good burger shake great . guy work counter nice . 
 Nov 12 2009 	 great location food staff everything else 	 take BART San Francisco airport $ 8.10 walk 4 mintue Powell St. hotel . location amazing . short walk cable car , mall , MOMA ( Muesum Modern Art ) . close easy get BART cab . staff great . tv experience great . flat panel , many channel , nothing HI Def . 5 business traveler agree Anzu restaurant amazing . I will stay every time ' m area . 
 Nov 9 2009 	 romantic Weekend two Nikko 	 boyfriend decide attend recent engagement Ashford & amp ; Simpson Nikko . since previously guest Nikko impress excellent accomodation service , suggest spend night could really enjoy event drive home Saturday night show . also make reservation Sunday brunch . course , show fabulous , brunch delicious hotel still wonderful remember . boyfriend pleased plan several visit we next month . make happy lady . 
 Nov 7 2009 	 centrale 	 small room , clean quiet . gym old , ridicolous pool . bar close . central position , guy efficient professional , warm ... 
 Nov 5 2009 	 horrible 	 chic hotel advertise.it price understaffed . lobby cold uninviting . room size closet charge 240.00 . nickel dime death , pay extra internet connection room . enough lighting . honor bar . help business center , photocopy cost dollar . staff cold unhelpful . recommend Hilton next , Marriott couple block away . people hotel warmly greet happy assist copy either free- Marriott .15 cent Hilton . oh yeah cost extra use fitness center . hotel worth high price command ! ! 
 Nov 3 2009 	 Fabulous hotel ; fantastic service friendly personnel ! 	 front desk personnel extremely polite make feel important . hotel staff accomodate . hotel far Union Square perfectly centrally locate , far infamous Powell Street cable car , BART Muni . interior , complete waterfall along step lead lobby O'Farrell Street entrance serene . view city room ( 18th floor ) spectacular morning evening ( sunrise sunset ) . definitely recommend hotel business leisure travel happy chance stay recent trip SF . 
 Oct 25 2009 	 first time Nikko -- will back ! 	 book two - night stay via Hotwire first try ever online booking site . & quot ; big citiy & quot ; interlude week Napa / Mendocino trip Lake Tahoe . arrive -- early check - in , time might add -- treat cordially efficiently front desk personnel . confiremd reservation let we know kind room -- & quot ; queen & quot ; room . let we know could upgrade $ 20 / night spacious & quot ; king & quot ; room . no - brainer , give low , low rate have secure hotwire . king room turn corner room 12th floor -- full light stream two direction , high enough neighbor building need close drape ! everything exude luxe -- , week too - idiosyncratic B & amp ; Bs ! staff friendly throughout -- front desk , concierge , bar , clean staff encounter hall . bed terrific , roomy bath pleasure . great location -- block Union Square . report item miss mini - bar , charge , housekeeping say would take care . item appear bill , simply tell front desk not charge instantly remove charge . stay make we big fan Nikko Hotels . we big fan cabaret , Nikko room headliner . sorry didi not get chance sample . 
 Oct 19 2009 	 nice room 1 person 	 hotel nice , good location tourist , Union Square . room nice really small , much closet space . room fine , not know one person stay room . bed comfortable bathroom nice . bar good happy nice . 
