great 	 stay hotel numerous time business leisure . great comfortable room fun bar . love lavender smell hallway . 
 Nov 24 2009 	 Loved Vitale 	 spend fabulous week SF stay Hotel Vitale . welcome reception hot towel long haul flight much appreciate . room deluxe waterfront sixth floor thoroughly recommend . great view Embarcadero Bay Bridge . easy connection centre use historic F line streetcar short walk underground . hotel room spotless , big comfy bed , great bathroom friendly staff . must mention thank Keith ( Concierge ) help . 
 Nov 22 2009 	 modern Clean Comfortable ! 	 room : * clean , modern bright ! * bed super comfy lot plush pillow + nice & quot ; crate & amp ; barrel - ish & quot ; bed sheet * room service fantastic : order midnight snack fresh baked cookie ice cream ice cold milk . service friendly timely . * , want eat drink everything fridge + snack cabinet hotel ( be amazing ! ) * first time , actually LIKED toiletry hotel carry .. happen carry favorite brand : fresh , originally San Francisco . Sugar Lemon Bath Gel smell delicious . location : * walkable distance everywhere want go . close Pier 1 . service : * check : friendly , easy fast . also ask early check - in due last minute flight change , happy accommodate . * check : friendly , easy fast . check early ( around 6 am ) . value : * book Expedia peak Spring Break season . still get great deal , hotel worth every $ $ . never encounter single problem staff friendly helpful . 
 Nov 7 2009 	 's good thing location rock 	 hope great , get good Vitale . room clean , bathroom kinda average . request upon check - in morning paper go unfulfilled four day five first day , housekeeping forgot room go hang half hour thing ( 4:00 afternoon . ) however , location fantastic ; great view Bay Bridge , spit distance Ferry Building food market , restaurant sort , course amazing view . stay , try get room floor four good water view . sure city - side room like . another plus free access nearby ymca - super friendly staff ton equipment . 
 Nov 1 2009 	 Awesome stay Hotel Vitale 	 early morning fligh Newark San Francisco . land 10:30 , retrieve luggage get taxi taxi stand take we Hotel Vitale , cost $ 46 tip . hotel 11:15 room ready 11:30 . upgrade we , without we even ask , waterview room . staff friendly go way we . bell hop bring bag room still time walk across street catch 12:00 ferry Sausalito . could believe well timing work . view ferry magnificent . stay Sausalito little bit walk around , soak view eat lunch . kid get tired , catch ferry back walk around ferry building fill different food ware great place visit . go back hotel rest little bit Giants game . 20 minute walk ATT Park along Embarcadero . park beautiful game great . walk back hotel , many other game , feel safe . gym hotel nothing talk , machine , nothing special . room modern clean bed extremely comfortable . morning coffee set lobby comfy sit around couch lobby read paper . restaurant hotel go go breakfast , someone recommend Mel 's Diner 4th Mission , take walk . food delicious portion huge . meal cost $ 10 , well worth , consider none we hungry till dinner . would highly recommend Hotel Vitale San Francisco ! 
 Oct 31 2009 	 Best ever bed brilliant location 	 first time would San Francisco ( hopefully last ) be glad stay . location along bay fab , staff friendly room large , clean comfy stunning view . San Francisco amazing everything 4 day . must see sealion pier 39 , go alcatraz , breakfast Sears union square ( amazing pancake ) go different district , ride tram walk golden gate . food amazing ! not one bad meal . 
 Oct 30 2009 	 lovely hotel close waterfront 	 friend recommend hotel ' m glad . small boutique hotel close waterfront many restaurant . room large well appoint . staff super friendly helpful . would definitely stay . 
 Oct 12 2009 	 never get enough hotel 	 second stay Vitale . staff kind , chatty welcoming . arrange everything include meal ' Spruce ' Keith concierge stay . incredible many staff . massage great . stay king overlook bridge circular suite , bathroom wonderful japanese style seat double shower some . get room view Embacardo go boulette kitchen breakfast . clean smart , stylish buzzy evening . 
 Oct 12 2009 	 Luxe Bay 	 stay 5 night part mini & quot ; road trip & quot ; . ( see also Yosemite View Lodge Carmel Mission Inn ) .Had city deluxe room , large airy , high quality furnishing , plasma tv , pod docking staion enormous comfy bed . decent sized luxury bathroom shower ( small ) bath . even recycle facility room , one wastebin recycle item ! staff friendly helpful , make good use concierge transport query recommendation . hotel right next bay , edge financial district . 15 min ( mainly flat ! ) walk Union Square . start cable car Market St around corner . do not eat hotel ( use bar , always packed . ) slight negative although room 5th floor , noisy early ( 05.00 ish ) morning , road noise , trolley bus etc . probably not wake , make difficult get back sleep . limited cupboard / storage space room : doubt load guest one two night , ' m sure not first people stayed begin 2 week trip , want unpack ! although & quot ; turndown & quot ; service mention , not get stay . we get 3 day MUNI Pass ( 18 $ ) use cable car , street car , BART trolleybuse . great value one journey cable car $ 5 bus etc $ 2.the Ferry building road gastronomic paradise , load specialist food shop , restaurant farmer ' market 4 time week . ferry building recommendation : Boulette 's Larder breakfast , excellent burger Taylor 's Automatic Refresher , good Mexican Mijita , Slanted Door - great vietnamese food . NB Difficult get usually fully book , get 5 ish ask walk in . ( manage first line evening go ! ) Mijita good , check closing time ! get 7 one evening , order starter first margarita , go back 10 min later margaritas main course kitchen close warning give punter happen ! enjoy stay would return . 
 oct 9 2009 	 fantastic boutique hotel perfectly locate 	 great boutique hotel - staff super friendly knowledgeable , room comfortable quiet . locate across Ferry Building number good restaurant level dining , fantastic farmer 's market Saturday morning ( even traveller lot goody ) .No complaint ( rarity we ) . 
 oct 9 2009 	 wonderful location great hotel 	 great hotel . room nice , nothing top ..... clean comfortable . ( linen towel top notch toiletry nice ) . complaint light come top blind morning around 7:00 . ( travel first time 2 year without young child look forward sleep late ) . kick forget eye shade . the location wonderful . morning walk across street Ferry Building latte bake good . hit Farmer 's Market Saturday morning . 
