view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 Nov 24 2009 	 beautiful property small room 	 great hotel , front desk service extremely slow / disorganized . room small , tidy clean . bathroom great vintage standing . constant hill climbing bit tedious 4 day - certainly good leg ! 
 Nov 23 2009 	 beautiful room historic hotel 	 free night priority club reward , quite treat . end get upgrade corner suite 12th floor . gorgeous room amazing view . everything room luxurious comfortable . enjoy cocktails Top Mark . great experience . far downside go , internet complimentary . hotel elevator slow check check quite delay . I would definitely stay . 
 Nov 19 2009 	 wish less noisy 	 spend weekend Mark Hopkins thought . pro : service - every employee contact helpful , courteous , quickroom - business room plenty big 2 uslocation - top hill , cross 2 cable car run , near China Town , near Union SquareTop Mark - quite view , good place glass wine end dayCON : noise - pipe rattle whenever someone use shower toilet , front face room traffic noise , also near elevator noise people wait elevator could heardother : top hill . walk Fisherman 's Wharf ( downhill ) easily . would want walk back ( uphill ) . bad enough China Town . be near cable car route nice use . depend time day constantly full . line Fisherman 's Wharf end easily hour long . plan cab need somewhere specific time . bottom line - lot nice hotel area probably well value . always go Top Mark without stay . 
 Nov 19 2009 	 good location nice room hotel gear business client 	 hotel locate top Nob Hill - lovely location ( although steep hill ! ) . high floor , high price correspond view San Fransisco Bay city . hotel impressive entrance room stay , standard room , clean large comfortable bed nice linen . bathroom good bath shower good toiletry , although bath shallow would unsatisfying soak . tea coffee provide , although option fresh milk . not offer option book breakfast meal not tell hotel 's service ( Top Mark restaurant skybar - beware dress code include sport shoe ) hotel seem cater much business market impersonal . 
 Nov 4 2009 	 Excellent service -- solid value 	 stay 2 night October . get good AAA rate ( $ 190 one night , $ 159 2nd night ) . room comfortable , large enough two . location excellent ... relatively quiet area SF , close enough action . Valet parking definitely expensive , try find something cheap . get wonderful service staff ... include wife get ill . extremely attentive . overall well staff hotel , excellent service , great value $ 200 . 
 oct 9 2009 	 good place stay San Francisco 	 hotel locate top Nob hill fantastic view sky bar top . hotel full history . conference room splendid . easy walk hotel nearby place Union Square , Chinatown advange go downhill . may take effort come back . three line cable car station close hotel , peak hour , difficult catch one . oh , cable car museum close hotel , interesting place . hotel room little bit small , clean . quite typical old hotel . great place stay San Francisco . 
 Oct 8 2009 	 convenient location Nob Hill sound clang wall pipe 	 $ 250 conference rate room smallish , nicely furnish , though underwhelme bathroom , shower shower supply . big issue constantly clang pipe bathroom wall old hotel , sound intrusive . lobby small , valet parking overprice area @ $ 50 day -- cheap public parking available within 1 - 2 block . plus : cable car line easy access SF attraction include Wharf , Chinatown , Union Square ; varied view smallish window ; great local restaurant nearby , nice view overprice bar , Top Mark , overall friendly staff . stay , ask room without pipe clang . 
 Oct 8 2009 	 luxurious hotel great location ! 	 love stay Intercontinental Mark Hopkins . room beautiful - clean , spacious incredibly comfortable bed . staff friendly helpful . location central walking take trolley anywhere . great stay would stay ! rate good nice place ! 
 Oct 8 2009 	 Club Lounge Mark Hopkins IDEAL teenager extend family ! 	 travel San Francisco small wedding Grace Cathedral , street Mark Hopkins . say enough fabulous staff Club Lounge . day food drink , perfect teenage boy also great place relax group . even grandparent love . Nancy Jonathan lounge help anything everything . 
 Oct 8 2009 	 beautiful historic hotel ! 	 husband stay long weekend September 6yr old son . get good deal Hotwire , $ 220 / nt . room comfortable well appoint , bit small . service great . concierge helpful recommend terrific restaurant every night . also use nanny service suggest great ! 2 complaint : 1 ) ice maker floor break . fantastic son love ride elevator floor get ice ! 2 ) room service restaurant hour short . would stay could get another good deal . . 
