elegant 	 always want stay , use Park Hyatt . great location away Market St ( 8 min walk ) , close Hyatt Regency meeting location ( 5 min walk ) . hotel anchor western end Embarcadero Center Shopping tower - unfortunately many empty / closed store . still , close great restaurant North Beach & amp ; Embarcadero / Market ( one market , Slated Door , Kokkari ) . hotel sleek modern feel one enter lobby / bar area . fitness room compact well equip . firm comfortable bed w / high quality linen ( pillow soft taste ) . lot good lighting reading & amp ; work . flat screen tv add feature easy access medium outlet use iPods , video etc - useful ! noisy due siren firehouse station 1 block away , would gladly stay . 
 fantastic location easy access cable car BART walk distance Union Square 	 upgrade we Executive King Studio Suite . amenity great ... IPOD dock station room . literally across stree Embarcadero Shopping Centre . 3 block Union Square . 2 block trolley . would stay million time . staff quick serve . downfall : guy check we tad bit rude . 
 Nov 25 2009 	 fine place stay SF 	 spend 4 night Le Meridien must say impressed . select hotel recommend colleague location , inthe financial district . reviewer already , thisis great hotel : service efficient , room ultra clean , spacious modern ( bathroom shower tub ) , fantastic location close embarcadero . free coffee morning lobby area . even cricket sound elevator make feel relaxed ! big shopping centre across street . for drwaback internet room free : $ 13 per night - annoy ad bit much , especially consiering must attract lot busine traveller due hotel location . 
 Nov 13 2009 	 great location excellent service comfortable great view ! 	 great hotel SF ! normally stay Union square center shopping area . see hotel great price past weekend decide take chance . thought : great location ( not mind walk ) : 5 min walk Embarcadero/ Ferry building / view Bay bridge , 10 min walk North Beach ( italian district great restaurant ) , 15 - 20 min walk Union Square . pregnant , maybe could walk fast ! also able find way get around without walk many steep hill . close public transportation . room : book small room ( Classic Corporate Room , king bed ) . bathroom not cramped/ super spacious , right , feel little luxurious . room little small , well keep , clean , decor modern/ nice , flat screen t.v . imagine large room like . king bed comfortable ! not spend much time sleep get ready perfect . get room balcony beautiful night day view bridge ! lovely ! not coffee pot room . service : concierge check - in great , staff helpful courteous . parking : ~ $ 52 / night hotel , $ 36 near - by lot , free street parking evening Sunday ! ( take advantage free parking ! ) totally recommend hotel anyone . not feel cramped/ dingy . hotel not feel old / worn . feel luxurious special . area not bustle car homeless front hotel ( weekend least ) . feel safe . 
 Nov 11 2009 	 Awesome Hotel ! 	 love place ; nothing bad say whatsoever . staff helpful accommodate room request concierge great ! gorgeous view room spacious modern . seem fairly centrally locate ( busy street , nice ) . would definitely come back ! 
 Nov 11 2009 	 great upscale hotel financial district 	 great upscale hotel adjacent embarcadero area financial district . common area common room good sized tasteful decor . staff friendly accomadating . complimentary coffee lobby every morning nice . highly recommend even want spend time fishermans wharf union square . far away . negative valet parking cost take breath away . 
 Nov 11 2009 	 great hotel 	 since 's locate financial district , get great deal staying weekend . block away North Beach Embarcadero . bus BART ( Bay Area Rapid Transit ) street . take BART airport ( Oakland SFO route ) never rent car city . lovely , professional , hotel ! 
 Nov 4 2009 	 good place stay San Francisco 	 book room first time Le Meridien , San Francisco friend . idea expect , shortly arrival become clear hotel really good place stay San Francisco . be spotless , modern , elegant service everything would expect . beautiful lobby , lounge restaurant . room spacious , pristine well design . great view . love every minute stay . ' m sure would , really place stay San Francisco . 
 Nov 1 2009 	 Favorite Hotel San Francisco ! 	 favorite hotel San Francisco . service top - notch restaurant lobby bar , housekeeper great ! LM locate close action quiet side street . room also plush comfortable . 
 Oct 31 2009 	 First Class 	 second stay not disappointed . high level service , attention detail , logistic make feel appreciated . truly enjoy comfort amenity hotel provide . well locate . arrange last minute meeting handle professionalism care . whole experience truly first class . 
 Oct 30 2009 	 Financial District location good – least week day 	 one night use Starwood point – upgrade suite , lovely view Bay Bridge balcony . could see cruise ship dock next morning lean bit ! sit room , bedroom , bathroom comfortable generously sized . view shower also . stay area , fear might quiet - seem quite lively , least week night . nearby Embarcadero Center link footbridge hotel , number restaurant price category , many shop . dinner nearby Schroeder ' Cafe , since resist german restaurant . food nice enough , far good german food ever – Schroeder ' around since 1893 ( different location ) interesting experience . sometimes fun visit " stick - in - the - past " restaurant . clearly place Happy Hours beer glass boot . eat hotel breakfast , nice meal pleasant dining room ( expensive – many cheap option nearby , Starbucks ) . would stay , like location well SFO location ' experience . 
 Oct 28 2009 	 good San Fran 	 stay alot hotel San Fran . hotel stand . like much return December . 
