every 	 book 4 night think would King Superior room . hindsight check reservation email carefully , state King Interior . something would go , say email miss that . on arrival , give room 2nd floor right back hotel , room big nicely furnish clean . view back courtyard . suppose call King Interior ! time day , go discuss disappointment room , 's location , view lack fairness Hotel , offer we alternative , upgrade cost even room sister hotel road . praise Staff that . sadly , initial contact / room Hotel make mark we want . leave Hotel consider refund accomodation pre - pay bill go walk . let consider room put we ....... view , small , 2nd floor back corner HotelWe go Marriott , couple block near Union Square $ 70 cheap Orchard Garden 2 night $ 2 cheap 2 night , able secure room much large , 19th floor wonderful view even well furnish . even throw Exec Lounge facility couple day . back Orchard Garden , eventually agree refund last 2 night accomodation accept promptly move Marriott . for initially pay room Orchard Garden initially give we , value money . yes accomodate room , not stay long enough sleep . read review need take account alongside previous guest review . 
 great hotel 	 like reviewer write : lovely hotel , comfortable bed , friendly staff great location . 
 Nov 24 2009 	 great hotel PERFECT location ! 	 hotel pretty clean . bed room comfortable nicely appoint . real star location - perfect walk anywhere city ! ten minute moscone foot . ten minute awesome North Beach restaurant foot . five ( less ) minute walk Union Sq good shop SFO offer . literally 10 step away gate Chinatown . 
 Nov 18 2009 	 lovely hotel great location rate 	 ' ve stay Orchard Garden twice pleased time . 's small - ish property - probably 80 room - room comfortable , immaculate 's nice bar restaurant lobby . great location - right next Chinatown Gate south end Grant Street , restaurant shop ( Union Square ) close good . friendly staff good price . great place stay be San Francisco business fun . 
 Nov 10 2009 	 repeat visitor still impressed 	 Orchard Garden Hotel exceed expectation -- second time . return love location , room , green concept staff . pay little extra & quot ; view & quot ; room treat balcony spacious quarter . look forward return great boutique hotel . 
 Oct 21 2009 	 well worth look . 	 stay August 2009 3 night . room clean uncluttered feel . decent size television free in - room wireless internet absolute bonus . bathroom big clean certainly lack claustrophobic feel less hotel . staff also friendly helpful call upon . locate right next chinatown short walk large department store main tourist bus stop . certainly worth look next time San Francisco . 
 Oct 19 2009 	 great hotel San Francisco 	 want stay really nice hotel good location San Francisco , suggest stay Orchard Garden Hotel . three year old nicely decorate . room big , big bathroom , bath robe , safe , dock station iPod . staff friendly help we nice restaurant ( Sam 's Grill Seafood ) well direction head airport . hotel locate next gate Chinatown . 
 Oct 17 2009 	 Good Hotel - enjoy return visit 	 fourth time ' ve stay Orchard Garden San Francisco business enjoy stay . room time twin 10th floor ( top floor ) rather king consequently , room ensuite bit tight space previous room ' ve stay OG , want king , make sure request . however , comfortable staff great . room always immaculately prepared , apart minibar , use couple occasion . product use never replenish 10 day stay fridge never really cold . also , past , snack room purchase , & amp ; Ms Kettle Chips , time sign . not ask . also , reason , air conditioning noise loud room , especially bathroom , occasionally annoying . otherwise , nice comfortable hotel , helpful staff , good location , make easy shop see sight . 
 Oct 11 2009 	 Super ... every way ! 	 love green concept ! Green hotel recycle material build recycling bin room . hotel staff extremely helpful whatever need ( direction , restaurant recommendation , hold luggage checkout actually leave , etc ) . great location ( right next Chinatown Gate walk distance Market Street , cable car , SoMa , Ferry Bldg ) . nice sized room comfortable bed , big enough tub fit 2 , lot light open curtain ... definitely stay . 
 Oct 10 2009 	 lovely relax modern clean 	 great place stay ! everyone friendly accommodating . room good size , organic toiletry yummy . meat - heavy menu restaurant one surprising exception hotel 's environmentally friendly practice . would stay day . 
 Oct 8 2009 	 Home Away home 	 absolutely green eco - friendly hotel San Francisco . room comfortable inviting like bedroom staff accommodate always friendly like family . hotel centrally locate great eatery ( Le Central ) shopping ( Lululemon ) yet far enough away noisy downtown bustle . quaint , contemporary operate like well oil machine . love hotel stay anywhere else . San Francisco icon . 
 Oct 8 2009 	 wonderful ` ` green '' hotel friendly staff great location . 	 nice still new hotel excellent service . every contact personnel leave positive impression . live & quot ; green & quot ; focus include small recycle container room . s.f . medical reason require lot time room procedure free WiFi DVD library / player welcome . try restaurant use excellent Cafe de la Presse restaurant across street breakfast couple time dinner . bed excellent . negative hotel ( describe comment ) room small . junior suite not large enough standard size lounge chair part furnishing . hotel provide one ask though limit space . also little drawer space - one two night - table next bed two small drawer directly bar - refrigerator ( nice warm undies morning ) . otoh bathroom huge nice - two sink , bathtub shower . hotel clean throughout enforce no - smoking policy . great location , step away Chinatown , block Union Square , easy access Embarcadero . fitness room excellent equipment one kind ( stair , jogging , bicycle ) . parking fee ( usual downtown SF ) least prompt bring car . would definitely stay not spend lot time smallish room . 
