love 	 husband come hotel several year . location excellent , staff wonderful , room comfortable . lot old fashioned charm . hotel like home away home . also great access shopping , North Beach , public transit great restaurant . 
 Petite Auberge Hotel treasure ! 	 husband pleasure stay Petite Auberge Hotel recently . delight friendly courteous staff . room quaint , cozy comfortable . in - room fireplace add much charm hotel . breakfast delicious exceed expectation . petite auberge delightful change large , impersonal hotel . ' ve already recommend Petite Auberge friend . look forward stay San Francisco . Dr. E. Mr. J. Pieterse 
 Old Fashion Charm 	 stay Petite Auberge several time last year think home away home grand city San Francisco . centrally locate great resturant , entertainment , course shopping ! back visit San Francisco ! 
 Petite Auberge San Francisco Ca 	 one good hotel stay . fine service , friendly staff , excellent room great breakfast . would highly recomme next trip San Francisco 
 Nov 21 2009 	 good SF Value 	 Petite Auberge well locate downtown SF block Union Square . room comfortable fancy faced backyard garden adjacent building . hallway second floor stain carpet ambient noise neighborhood significant stay . despite drawback positive include competitive price , helpful staff fine breadfast . 
 Nov 20 2009 	 lovely 	 little confused check Petite Auberge seem unmanned hotel next door White Swan . however , room lovely great fireplace - although admit hard day 's sightseeing would nice tv laze front ! ! nice lounge coffee available wine guest early evening . lots character . 
 Nov 11 2009 	 Charm cheap 	 room tiny , hotel look nice picture . lay ' french countryside ' look quite thick . be still nice , great value , french - theme benefit , cheese wine tasting . clearly make effort place similar price . 
 Oct 24 2009 	 would stay 	 return 4 night . Room & quot ; cozy & quot ; - code somewhat small . inn could use update . - staff friendly , breakfast good save $ . would prefer vary selection toaster take forever . loved old elevator - get soft drink water whenever like fridge downstairs . street little scary night lot side street . 1 1/2 block cable car stop Powell pretty convenient . I would stay . 
 Oct 23 2009 	 Disappointed hotel .... shabby clean . 	 book stay Petite Auberge information Rough Guide San Francisco - rate " luxurious memorable sumptuous breakfast " - would agree statement . far concerned luxurious - think shabby clean breakfast ordinary buffet toaster take ten minute one piece bread lukewarm coffee . situate within block Union Square slightly run area - sadly San Francisco beset inordinate number rough sleeper vagrant area number hostel seem attract . okay day come back foot night little intimidating . bad problem noise outside inside building - 24 hour people room must early flight get 3.00 morning bang crash wheeled luggage feel like room we . also people come back one morning corridor narrow loud voice wake we well - even offer ear plugs one complain . blind small room rip net curtain dirty , hair bathroom ! ! bathroom miniscule wash hand basin bedroom ..... hope JDV group spend little money hall carpet badly stain dirty . glad spend last three day holiday Hotel Drisco peace tranquillity Pacific Heights . also charge 40 dollar car park . 
 Oct 16 2009 	 fantastic hotel stay 	 really enjoy stay Petite Auberge . serve delicious breakfast different day wine cheese much fun . ask favorite part trip San Francisco .. reply ... come back Petite Auberge day wine tasting visit new friend meet world . staff friendly helpfull well . 
 Oct 12 2009 	 first stop anniversary trip ! 	 hubby land San Francisco around noon get 1pm- nice ket we check early ! stay petite suite back hotel 's terrace enterance . lovely ! sit outside every evening cute iron furniture . the oom nice- jetted tub bathroom gas fireplace . bed pretty- hand paint King sized- comfy . , issue plumbin- management top notch make ! hotel need cosmetic touch ups- peel paint , bathroom fixture etc . always busy bet can not schedule maintaince . the breakfast nice save $ $ . wish varied it- stay several days- get old- even free . same evening wine / snacks- free perfect , varied would amazing ! good area- 2 block cable car . Felt safe night . overall nice ! 
 oct 9 2009 	 charming hotel great location 	 small boutique hotel Union Square . rate reasonable - book nonrefundable one . website warn Cozy Queen room small - , remind we little french hotel stay . need big room San Francisco anyway ? go sleep , right ? buffet breakfast great , especially breads muffin . happen late afternoon , complimentary wine cheese sweet . lobby computer , staff confirm flight print boarding pass . would stay heartbeat . 
 Oct 5 2009 	 cozy homey bed breakfast 	 service pleasant helpful . room absolutely charming comfortable , also clean . stay Deluxe King . room fireplace , bookshelf , nice window see city . social hour wine cheese even well expect . leave early not get sample breakfast , fresh tasty . B & amp ; b block street car go Fisherman 's Wharf . 
 Oct 3 2009 	 great value 	 spend one night Sept. 09 . charming hotel great value expensive city . book cozy queen quite adequate size . rate include breakfast evening reception . staff friendly welcoming . 
 oct 2 2009 	 thrill 	 stay 6 different hotel summer vacation year sadly , one least favorite . perhaps expectation high read review book room base high ranking give . ' m confused much not add . problem small room -that much expect . however shower small husband barely fit tile grout blacken section , suggest mildew issue apparently could remedy . personally issue placement faucet sink . room faucet position impossible wash hand without fully rub hand back sink . provide faucet long neck would fix problem . there A / c , - expect . need keep window open fresh air herein lie problem ... noise . street noise somewhat tolerable light sleeper , however garbage pick - up alley 5:00am less desirable impossible sleep . credit , hotel offer earplug guest . unfortunately , husband sleep well either night stay hotel . find person talk lobby give sister hotel next door seem hold great favor staff . note leave front desk front door guide call walk White Swan 80 % time . the wine reception nice idea seem enjoy . show last clean glass take miss . breakfast fairly good . add - not feel get good value pay room ( $ 380.00 2 night , incl . parking taxis ) .On last morning , maintenance man come check bathroom investigate source water problem apparently leak breakfast dining room couple floor . 's old hotel get impression maintain shoestring budget . if pay less stay maybe little thing would not bother we much . will stay elsewhere next trip San Francisco . 
 Sep 22 2009 	 would not go back 	 Hotel pretty , service fabulous . hotel well maintain , may unlucky first room noisy move another block toilet flood room ( smell wet floor new issue ) move new room light tap do not work . room curtain issue light sleeper , air con contrary popular belief need san francisco warm muggy . tell open window , noisy though lead sleep either . overall disappointing . send complaint management reply . hotel offer free wifi do not work time . oh $ 32 night charge valet parking scarily busy part SF could not take risk finding somewhere leave car pay $ 100 taxis 3 night parking ! oh breakfast ... try french cuisine poor choice honest 
 Sep 21 2009 	 love place 	 thing love place : over - all ambience , room ( Room 25 ) , central location , guest ( mostly international ) , breakfast ( variety bread / roll / pastry / hot & amp ; cold cereal , egg , sausage , fresh fruit ) , wine reception include multiple cheese , cracker , appetizer & amp ; dessert ( drinker - also tea & amp ; coffee ) . common area comfortably cozy ( yet another fireplace ! ) & amp ; condusive enjoyable conversation guest . I not know anyone would stay institutionally - decorate , impersonal chain hotel could stay charming , comfortable inn like . 
 Sep 12 2009 	 Excellent Stay 	 husband stay Petite Auberge 3 week ago 5 day . excellent stay . one basic home adequate . spend time sightseeing , therefore need large room . staff helpful accomodating . go way give direction recommend restaurant . breakfast good every morning , plenty healthy choice . especially enjoy cookie put every day well fruit drink provide . another thing mention page guest Petite Auberge could use fitness room White Swan . especially nice husband want use treadmill . overall great stay ! 
 Aug 20 2009 	 good b 	 Petite Auberge darling inn centrally locate near Union Square . literally walk 2 block cable car 4 block China Town . convenient . staff accomodate professional well . one good thing offer stay delightful breakfast also wine cheese afternoon full day gad . oh , mention fresh - make cookie available ? room cozy .. fireplace . love San Francisco place stay visit . 
 Aug 9 2009 	 great hotel great location 	 pleasantly surprise great location adorable ambience french country theme hotel , staff happy give tourist information make visit even enjoyable . definitely stay recommend family friend . room fireplace great touch . Carol Thomaier 
 Aug 7 2009 	 fantastic Stay San Francisco 's Petite Auberge ! ! ! 	 spend 3 night fantastic Petite Auberge end west coast trip . really perfectly right spot : 2 block Union Square , 's vivid life transport , ( Cable Car even stop 100 m hotel ! ) , still quiet ! adorable queen size - fireplace room ( n ° 45 ) , spacious , comfortable , perfectly clean , completely romantic ! wine - time ( instead tea - time ! ) , perfect spot taste Californian Wine , fantastic moment meet guest hotel , exchange good thing place ! really great melting pot , meet awesome people ! course , not miss breakfast , every day something different , fresh fruit , delicious ! will definitely come back Petite Auberge ! 
 Aug 5 2009 	 Loved stay Petite Auberge 	 stay Petite Auberge 3 night July . wonderful . staff go beyond make stay pleasant one . room perfect , breakfast delicious , wine reception evening wonderful way wind long day see city . Melissa , San Francisco Greeter amazing . us city see thing definitely would miss without . wish could stayed long . would stay heartbeat . centrally locate , close trolley bus line . give try , glad . 
