thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Nov 24 2009 	 really noisy hotel 	 accept room ground floor pedestrian look directly room sidewalk ! 
 Nov 20 2009 	 Nice Hotel good location . 	 2nd visit San Francisco previously stay Argonaut . we try book Virgin Holidays Argonaut day require available choose hotel instead . actually get good price ( £ 580 ) 4 day spend . choose hotel close proximity Fishermans Wharf , Pier 39 one block away . upon enter hotel initial thought plush vibrant Argonaut however home next four day plod reception . receptionist greet we smile pleasant hello helpful soon way 4th floor . remember read Tripadvisor room locate right next door bus depot quite noisy , assign room keep finger cross would get location . upon enter room window blind surprised size room attic type room load space , pull blind .......... oh ! ! ! ! ! next bus depot ! oh well might bad fear unpacking decide listen noise bus , 2 minute way back reception another room noise quite bad however room excellent ! speak receptionist pleasant 2nd time give we room 1st floor look onto courtyard . room small quiet . decor bit strange especially carpet . bathroom tiny mean tiny , time visit USA smallest ever encounter tub could 12 inch deep , strange tub ever see . wardrobe opposite sink bathroom room safe also . beds superb sleep well throughout also Phillips 37 & quot ; LCD / Plasma room . we eat hotel morning buffet $ 46 two small room roughly 10 table , price think quite steep head Las Vegas later holiday breakfast buffet decent hotel around $ 30 choice food far superior , although complain heck British , rarely complain holiday also ! venture fishermans wharf day enjoy surrounding entertainment food eat Bubba Gumps time give fantastic view Alcatraz . location hotel mean almost opposite tour bus pick - up point take City Tour/ Boat combo trip Wine Country tour Sonoma Napa Valley . also take trolley ride Union Square chill morning picnic maritime park afterwards short walk away ! visit Pier 39 encounter hundred japanese school child school uniform milling place , think must japanese school nearby , think nothing see sit outside hotel seating area head hotel . think oh kid - noise ! fear bad .... wrong ! child ambassador country , hear behaviour impeccable credit teacher , worry unfounded ! Wish could bring selecton british youth learn example ! ! ! ! ! would say Fishermans Wharf would'nt suit everybody . place quite trashy , tacky touristy , place similar England call Blackpool , however much much small Blackpool half dirty ! huge amount homeless people area however rarely bother you . overall hotel quite good , clean expertly run location excellent . in two visit San Francisco think see see place . possibly one beautiful american city visit local friendly ! one drawback compare city visit dear ! one day back ? know eh ? 
 Nov 19 2009 	 good enough little strange decor 	 Sheraton Fisherman 's wharf quiet nice give & quot ; average & quot ; rating think decor & quot ; bright sunny & quot ; & quot ; loud & quot ; area . , not match feel San Francisco , rather beach town like Florida something . mostly like room . otherwise , parking convenient ( pricey ) staff friendly enough . pleased feel clean important . 
 Nov 17 2009 	 freshly decorate do not book priceline 	 hotel clean pretty picture look . remodel tastefully modern . one attractive hotel ever stay . would stay , book directly Sheraton Priceline . book room priceline travel site , give bad room hotel , room next loud ugly bus station . bus station mechanic work bus sun come . think tacky way business . go treat priceline customer like , allow room book hotel use service . 
 Nov 10 2009 	 Business hotel 	 hotel actually wreck holiday . mess bill , charge $ 400 + much ( one charge much ) , appear credit amount , leave , return 2 day succession hour plus travel time day , try sort , ruin day could go trip . also noisy 4.30 a.m. onwards . primarily business hotel lot meeting convention go , obviously suited . definitely place family . 
 Nov 5 2009 	 good value price excellent location 	 Excellent location near Pier 39 . cable car 2 block away . book standard room upgrade deluxe starwood prefer guest room . room large nicely decorate , sofa complimentary coffe . bathroom small , new . unfortunately , room non - smoking smoke outside chill temperature . use garage expensive , park road near Hotel . charge internet 
 Oct 24 2009 	 take ear plug expect get sleep ! 	 recently stay Sheraton Fisherman 's Wharf friend mine . starwood member expect upgrade ; however , ask phone prior trip would get one tell would difficult upgrade would put we King room need double room . instead say would certainly give we nice room top floor overlook courtyard would nice quiet . luck would , flight cancel way S.F . arrive day late . not know reason not get & quot ; nice & quot ; top floor room overlook courtyard , room give we third floor overlook hotel 's huge air conditioning unit affix roof bit low floor . hotel old hotel renovate . unfortunately , room , leave old air conditioning unit not loud enough contend monstrous one roof outside window . not bad enough , people room directly march back forth across floor 5:00 a.m. , disturbance reason specifically happy know get top floor room . ask room change second morning give room top floor HOWEVER room corner two busy street area , fact , F - line street car roar past room hour morning ( really not know ever quit ) . eventually leave window completely close turn air conditioner even room not hot -- outcome end sinus infection air conditioning . , hotel nicely decorate colourful beach design . lobby open lounge / restaurant always full people . eat anything buffet breakfast second morning , compe we complain room give . breakfast wonderful . however , alcoholic drink expensive , bottled soda $ 4 bottled water $ 2.50 . outside front entrance place six gas barbeque heater chair couch place around . great area lounge drink cigarette smoker . advise area always busy time sit ask people mind join . area always noisy , however , people coming go day night vehicle partier come back evening . despite , location great . would recommend ? like thick thing sleep like log , will love . hand , like serenity , decorum quiet sleep , will disappoint . latter , therefore recommend hotel . 
 oct 22 2009 	 Great Hotel 	 hotel great location walk around Fisherman 's Wharf ! hotel clean , service great room modern . would recommend stay anyone definitely go back soon ! 
 Oct 16 2009 	 Excellent location however everything hotel expensive 	 hotel locate 2 block pier 39 huge plus . room clean hotel well maintain . issue pricing hotel . parking 40 dollar day food hotel 3x price block . morning charge 4.44 small cup regular coffee . learn quick 7- eleven block though . great location fire pit plus 
 Oct 14 2009 	 Wonderful Hotel 	 will not stay anywhere else unless . close Wharf , China Town , Little Italy adn cable car ! 
