great 	 staff willing help anything , great maid service , clean room , perfect location . 
 Thanksgiving Week Stay -- Excellent Hotel Families 	 stay last week travel visit family . look inexpensive place stay would accomodate two young child . would prefer stay central location like Union Square could not find anything close $ 100 / night . place fit bill term price accomodation ( pullout bed living area ) . happy place . allow check two hour early . crib request already set ( nice clean pack ' n play ) . space clean neat show age place . drawback noise . stay second floor North Point side . sleep pullout bed one night street noise fairly bothersome . ok bedroom . great time impress great accomodation reasonable price . would pick place overprice Fisherman 's Wharf hotel . 
 Nov 5 2009 	 great hotel early checkin later checkout please ! 	 apartment Suites hotel large , comfortable , clean , well - equip great location . view rooftop deck superb . big downside checkin not 4 pm , checkout 10 am . way outside industry norm 12 3 . leave room check last day , housekeeping already hover outside door ready get room clean . give , find hard understand checkin not 4 pm . state online booking would arrive noon , , tell room would ready well 3 pm , come back 3.30 . - hard , have fly overnight Australia tired - see man would arrive reception give room key . tell room would ready 4 , housekeeepe shampooed carpet need dry . complain man would come later give room , staff member explain room allocation do morning can not change day . walk carpet , still damp - even 4 pm late enough - room smell musty next day . fail see hotel sufficient staff need allow 6 full hour housekeeping clean vacated room . can not understand Housekeeping would decide shampoo carpet apartment allocate guest indicate would arrive noon . would much rather slightly dirty dry carpet clean , damp one long delay . also can not understand room allocation make flexible , room allocate guest arrive . staff pleasant , seem try hard helpful , procedure inflexible . 
 Oct 26 2009 	 great vacation Suites Fisherman 's Wharf ! 	 Suites Fisherman 's Wharf provide we great place stay , great location great staff help we . close Wharf , right Cable Car bus route . rental car , take advantage City Pass . staff upbeat , friendly excellent map highlighter get we want go . love balcony people watch rooftop great view . condo spacious , well appoint include wireless internet . 
 Oct 26 2009 	 Good Place 	 check , stay ! really enjoy trip San Francisco , many thing , place eat , etc . location put fingertip . 
 oct 22 2009 	 Excellent Location Excellent Suites Excellent Value money 	 title sentence say . perfect place spend day San Francisco . 
 Oct 12 2009 	 Best Vacation ever 	 good place stay . right hub everything . make sure look great scene get roof . everyone wonderful everything make stay happy one . 
 Sep 30 2009 	 fantastic stay Suites 	 husband , daughter recently stay 4 night Suites - first introduction San Francisco love stay . 2 bedroom suite living room kitchen spacious comfortable , small verandah marvellous early morning coffee rooftop give wonderful view bay alcatraz , & quot ; happy hour & quot ; talk visitor . staff extremely efficient helpful free internet access bonus .... tiny drawback sound tram go around 1 am - something use day . 
 Sep 17 2009 	 Location Cleanliness attitude 	 subject matter top rate . see view roof top will amazed ! sight ! see Alcatraz Golden Gate view sip coffee and/or wine . oh , mention will also hear ding - de cable car glide . 's life good ..... 
 Sep 14 2009 	 great location San Francisco Vacation 	 Suites Fisherman 's Wharf great base operate . Hyde Street Cable Car stop front door 4 - 5 city bus stop intersection Hyde North Beach ( Suites sit corner ) . car colossal pain San Francisco ( parking expensive parking ) bus / streetcar / cable car hard beat + buy 7 day pass good everything except BART $ 28 / person . Fisherman 's Wharf easy 2 - 3 block walk hotel . hotel great staff helpful everything might want way info . stay 2 bedoom unit everything clean , .comfortable , quiet .. hotel great rooftop deck enjoy great view Bay enjoy nice bottle fine . want hotel site restaurant , bar , disco , etc . place . thing close hotel . also get free newspaper day well free internet service . great value ! 
 Aug 24 2009 	 FABULOUS FABULOUS FABULOUS ! ! 	 stay Suites Fisherman 's Wharf 4 night 2 teenage daughter could not well . location amazing , room incredible proximity transportation , tourist attraction , shopping restaurant could beat . Suite 650sq ft 1 bedroom , queen pull - out fully equip kitchen dining area . balcony fabulous view Golden Gate Bridge Alcatraz even well view entire Wharf area roof - top patio enjoy coffee breakfast every morning . staff courteous extremely helpful meet need recommend place eat attraction see . MUNI Cable car stop right outside door add bonus absolutely love . highly recommend Hotel certainly stay return San Francisco future ! ! value location , price service make # 1 place stay San Francisco look forward stay ! ! 
 Aug 12 2009 	 wonderful Location - Great Service 	 stay extended weekend two adjacent one bedroom suite , one housing Great Grandma paternal Grandma , one maternal Grandma , Mommy Daddy 3 year old center attention . room spacious , bathroom adequate sofa sleeper actually bad sleep . since use apartment complex , kitchen great fully set item might require , include salt pepper . full size frig let we store frozen food milk young one . Suites Hyde St side ( ) balcony . get one prepared sound Hyde St cable car still hear window open alley side building . small roof deck deliver great view bay , Oakland Bay Bridge , Alcatraz , Golden Gate fog lift not really miss balcony . the reception staff great , housekeeping staff concierge , Carrie , patient informative . send we great little restaurant Beach Street ( Beach Street Cafe ) breakfast . food outstanding , service great , 10 % coupon give we helpful even though price quite reasonable San Francisco . as reviewer mention , even though one bedroom suite supposedly set 4 occupant , dinky dining table two chair . two would really help . want get together one room play Yahtzee way without seating . another bonus would room connect . find minor item & quot ; & quot ; type remark whole weekend . 
 Aug 5 2009 	 new terrific ambience 	 first time try Suites Fisherman 's Wharf expect inside much different see hotel ' ve . place clean nice , staff helpful , accommodate service fast . room clean different lovable ambience . location good , near fisherman 's wharf cable car accessible . regret choose hotel . 
 Aug 4 2009 	 small friendly great location 	 spacious lounge , comfortable bed . slightly large kitchen amd seat dining table would bonus . easy access bus cable car ; stop right outside . easy walk Fisherman 's Wharf . staff ; helpful . 
 Jul 23 2009 	 stay anywhere else 	 stay 3 night stay San Francisco ( 19th July - 22nd July . anyone would stay anywhere else mystery . greet withh wonderful welcome . concierge Sheila show we idea stay . suit lovely plenty space everything would need . former apartment use accommodation . Hyde & amp ; Powell streetcar stop outside front door jump board . pier 39 15 minute away . check , reception store bag charge help we car . would definitely stay . 
 Jul 14 2009 	 location location location ! ! 	 pleasant stay hotel recently . stayed 2 - bdr suite balcony view , comfortable six we . staff helpful ( jessie front desk also young lady 's name forgot ( brunette ) . Location WONDERFUL -- block Wharf ! ! sound problem -- close window trolley bug ! rooftop deck -- SPLEDID . see Alcatraz ! would definitely recommend anyone would like safe comfortable stay Wharf ! ! 
 Jul 12 2009 	 good cost ! 	 stay 2 night one young child ( 4 year old ) choose bc relatively low cost cheap parking compare hotel near Fisherman 's Wharf . overall happy . friendly helpful staff / concierge , good location ( able walk Pier 39 , Ghiradelli , etc ) , clean spacious . also , free Wifi ! negative little noisy -- street noise , trolley car , etc could heard living room center lounge area could heard bedroom . however , minor compare numerous positive . 
 Jul 8 2009 	 wonderful stay ! 	 fantastic stay . suite roomy nice , great view , great staff , wonderful location . love roof deck , ! 
 Jun 22 2009 	 ' Suites ' make we welcome perfect base operation . 	 spend five night single room Disneyland 5 people , Suites Fisherman 's Wharf welcome change . two bedroom suite everyone great couple night sleep . additionally , location perfect we find restaurant , see many attraction SF . book on - line get great rate room . definitely back . note Suites Hyde cable - car line ; rumble car go quickly fade background . car stop run night ( 11 - ish ? start 6 - ish ) not keep we sleep well . 
 Jun 21 2009 	 Felt live 	 love Suites Fisherman 's Wharf . it wonderful wake morning fix ourbreakfast , sit newspaper leftoutside door watch beautiful view wharffrom breakfast table . table rooftop offer full view city . nice picture take relax afternoon drink . the room cozy feel live andusually start day noon . location perfect . buy 7 day muni pass theairport arrive . cable bus stop right outside door . hotel staff knowledgeableabout bus route give we good suggestionsa eat . highly recommend feather pillow available upon request . the drawback due date hotel build soundproof good , amenity way inconvenience . after leave hotel realize leave article behind . call hotel airport assure belonging would sent mail . receive yesterday ... thank Debbie Laura . need say ... yes would definitely stay ... 
 Jun 16 2009 	 love place definitely stay 	 travel young child , be one thing know will spend evening hotel rather go town ( unless hire babysitter ) . be another share small hotel room . Suites Fisherman 's Wharf ultimate solution situation - great value . great time explore San Francisco , fun dinner ( Las Margaritas ) , come back suite put daughter bed room able stay long enjoy rest evening rest unit without disturb . addition , find room well appoint decent furnishing decor , coffee , coffee filter well expect amenity . unit clean , quiet , spacious comfortable . choose go & quot ; deluxe & quot ; one bedroom ( mean would balcony view wharf ) , instead quieter unit face residential unit . access awesome rooftop deck make . location perfect - Fisherman 's Wharf , cable car , North Beach within walking distance . staff great parking reasonable area . oh - try Pat 's Cafe breakfast - absolutely delicious outstanding service . 
 Jun 11 2009 	 great location - gorgeous room 	 book room Suites Fisherman ' Wharf . complex former apartment unit spacious . able check early arrive room gorgeous . four huge window overlook city full kitchen , living room bedroom . suite offer nice clean place family stay . step outside door within block Fisherman ' Wharf trolley pick drop right front . http : //www.joreviews.com / travel / valentine - day - san - francisco - ca 
 Jun 9 2009 	 wonderful place stay . 	 experience family Suites , nothing short fantastic . property clean , atmosphere pleasant , location fantastic , overall experience wonderful . thank staff nice place stay . 
 Jun 8 2009 	 go sleep Cable Cars roll .... 	 live area , want get early start SF , cast place stay . cheap near want , grab . parking tough area -- small garage $ 20 extra , similar garage around area . Hyde Street , one cable car line , roll window evening morning -- real treat . one block Ghirardelli Square , short walk Fisherman 's Wharf . two bedroom suite clean , well appoint , flat screen tv bedroom , large tv living area dvd player IPod player . first floor bedroom exit share patio . also full kitchen . Nicer apartment live -- plan stay near future . 
 Jun 1 2009 	 so - so stay . 	 stay room 204 one night . front desk clerk helpful check check . however , surprised would pay extra $ 20 parking . note website reservation . the conciere ( old asian man ) rude . soon walk lobby , instead ask , tell guest need talk us tone think rude demanding , hhhmmm ... , rather be want talk u need ur service , tell u need talk , especially ur suppose conciere not even check yet ....... well . fortunately , see morning get ready leave hotel , coffee table cut toe nail trimming someone stay . tell clean lady lazy not vaccum coffee table , unacceptable . make one wonder else not clean , hhmmm ? also , use hair dryer fuse blow shut power entire unit except refrigerator . test GFI fuse box finally trigger power back . 's reasonable expectation someone use hair dryer upgrade fusebox accomodate power surge ? ! today time , happen . room , realze be old part room fine . like idea kitchen separate bedroom / living room someone want nap sleep without bother anyone . u not find type place much . roof top wharf view nice 's close area interest walking make easy instead drive everywhere . value wise , be affordable ur getting , give 5 star . far recommend , well , sure . perhaps ur quick overnighter not care quality , service , etc ... would recommend parent stay , would not item mention . 's little thing matter rudeness u check , power go hair dryer toe nail clipping ..... will look elsewhere . 
 May 19 2009 	 great service location 	 every staff member encounter extremely friendly helpful , set facility apart other . location perfect , 1 block Ghirardeli Square Hyde Street Cable Car 2 block waterfront . the room slightly date , lacking . bathroom little cramp , , room comfortable . interior courtyard provide pleasant place sit meet other rooftop patio nice , weather cooperate . patio provide perfect view bay Alcatraz . the kitchenette living room nice , take advantage 1 night . would highly recommend long stay definitely look property staying city . parking limit , everywhere San Francisco . overnight parking fee $ 20 quite reasonable compare location , enclose structure space tight . public transportation close , car hassle worth . 
 May 12 2009 	 Great Service 	 wonderful staff - very friendly & amp ; helpful ! ! great location . trolley right front door . bike rental & amp ; car rental close . roof top table chair provide wonderful view bay . location wonderful staff make wonderful place stay . 
 may 12 2009 	 shell vacation never let 	 sister stay one bedroom condo . location walk distance Ghiradelli Sqare Fishermans Wharf . convenient take public transportation -- take trolley , cable car bus everywhere go . staff friendly helpful . unit spacious comfortable . even bed pull couch pretty comfy ! get little stuffy unit go day , cool quickly open window . ( not want leave open go since 1st floor ) timeshare Shell Vacations use point stay , ' m sure pricing like pay . 
 may 5 2009 	 Fabulous Hotel 	 wonderful time stay Suites . everyone courteous helpful . view amazing . also 2 block Fisherman 's Wharf , many shop restaurant . will go back year . Barbara Bedecarrax 
 Apr 30 2009 	 Undiscovered gem 	 town three day conduct meeting hire salesperson . room ideal purpose . view awesome ! would like commend front desk staff effecient route people meet suiteI definately use property business pleasure ! ! thank ! 
 Apr 25 2009 	 GREAT place ! ! ! 	 GREAT location ( 3 block water ) ! GREAT rooftop view ( Alcatraz , Bay & amp ; G.G . bridge ) ! great room ! close everything , helpful staff ever ( Jessica ) . 
 Apr 16 2009 	 Pleasant Surprise - nice place great value ! 	 visit three day two kid . hotel rate competitive standard room motel / hotel area , room suite ( much well value ) park half price hotel ( sure be look hotel Fisherman 's Wharf ask parking price - hotel charge additional $ 50 per night room rate - parking $ 20 per night , secured & amp ; cover - basement building ) . stay one bedroom suite , living room , kitchen & amp ; bathroom . living room queen - sized sleeper sofa . bedroom living room tv dvd / vcr livingroom . Kitchen include full size refrigerator , microwave , coffee maker ( complimentary coffee ) , dish dishwasher . bed comfortable room clean . hotel exceed expectation , will definitely try stay visit next time . this hotel part time - share , part hotel ( not sit sale pitch be wonder ) , well maintain , conveniently locate next several bus route Hyde street trolly - ( ( check get city pass 're - plan go Alcatraz , buy City Pass Alcatraz booth Pier 33 . Pass give 7 day unlimited use muni bus , cable car trolly 's , get Alcatraz , California Acadamy Science , Exploratorium , Yerba Buena Gardens , Aquarium , plus discount attraction . save 50 % entry attraction , plus get value bus line ! ) ) anyway , back hotel , view area roof great picture . 
 Apr 11 2009 	 great location service 	 room little worn staff make friendly service . everyone go way helpful . location great enjoy use public transportation system get around . japanese Tea Garden Golden Gate Park beautiful ! really enjoy Muir Woods also . would go back . 
 Apr 1 2009 	 good ... 	 arrive early , F. Desk agent assign we room make available within 30 minute . great service , friendly staff great location Fisherman 's Wharf . return family ! 
 Mar 30 2009 	 good place stay good location good staff 	 three night stay give we comfortable starting point explore San Francisco . nice quiet neighborhood Fishermann 's Wharf nearby . staff helpful suggestion . 
 Mar 22 2009 	 awsome ! 	 good location n awsome room cute well equip kitchen .. spacious communication dr newhere san francisco awsome ! ! lovely time ! grocery safeway department store close nearly eveythe u wnt ! .. cable car go ryt front hotel .. overall one wonderful holiday ever .. negative thing suite would internet access .... holy slow ! ! ! ! thn hrdly weigh nethe front good thign hotel , , . , warm n welcome staff./ ..... walk distance ghiradelli square n many eat place pier 39 ..... r balcony faced ocean n view breathtaking ! ! 
 Mar 9 2009 	 Perfect almost every way 	 wonderful home - away - from - home ! staff exceptionally helpful warm . 1 - bedroom suite make time San Francisco especially easy , since husband eat , return fix lunch well dinner . room face street , quite quiet -- except next - door neighbor leave 4 a.m. one morning speak loudly move luggage . , something could happen anywhere . we , nothing could want accommodation . special kudo Sunday afternoon 's desk clerk concierge ! 
 Feb 28 2009 	 outstanding family hotel 	 last minute trip take two girl ( 5 & amp ; 8 ) SF . 1 bedroom suite leave living room area sofa bed huge ! AC ceiling fan master 4 window living room allow plenty cool fresh air . fully stock kitchen time money saver breakfast evening snack . great location 1 block Ghirardelli Square Hyde Street Cable Car turn - around . staff extremely courteous helpful . definitely stay . purchase City Pass ticket wharf four day visit great value . 
 Feb 19 2009 	 Great Location 	 Easy access attraction Fisherman 's Wharf . cable car stop front door resort convenient . f - Line bus close . room clean staff helpful . would like return someday soon . 
 Feb 18 2009 	 great location 	 one block Ghiradelli Square one block Buena Vista ( good irish coffee ever ! ) . week arrival , daughter let we know granddaughter go area . suite perfect ask join we night = could not do ' regular ' hotel room . however , like ' regular ' hotel , daily maid service .... accommodate request extra towel . full kitchen wonderful ... coffee provide daily ! entire staff friendly helpful . parking not issue we able secure one place garage . bonus = book line , fee quote internet access , access turn free . without question , would stay ! 
