gorgeous 	 Fairmont Mason St beautifully well maintain hotel long colourful history . room large comfortable fabulous city view . lobby fabulous photo story document hotel 's history fascinating . staff great . 
 enjoy stay 	 fairmont live expectation . good quality hotel , great room think good location . first visit San Fran think great area stay . close cable car , Union Square etc . the thing would say bed get bit old . soft friendly back ! still , enjoyable stay . 
 feel like royalty 	 hotel locate good part San Francisco easy access everything . cable car route within block . food fantastic restaurant well . decor make one feel special . 
 Nov 24 2009 	 Suites Hotel Lobby Accomodations breathtaking 	 live San Francisco every like take trip within city stay one suite Fairmont . stay week get good rate . truly good hotel ever imagine stay . suite , lobby , restaurant , service . Location Excellent , especially tourist Nob Hill nice place keep busy hour , conveniently locate trolly line take straight union square many worthwhile district . recommend place anyone want get away & quot ; & quot ; feel relaxed joyful . 
 Nov 23 2009 	 date good 	 spend three night Buckingham Suite main building . fairmont one city 's well know , show age need good upgrade ( cleaning ) , particularly main ( old ) building . staff good , location good , really convenient like heart action ( shopping , theatre , restaurant ) . go high expectation bit disappoint much talk hotel . 
 Nov 20 2009 	 Best ! ! 	 beautiful , grand entry , give aura true class . hotel prepare Christmas Season stay . & quot ; gingerbread house & quot ; build lobby aroma give fantastically warm touch spacious warm surrounding . bell staff smartly dress , part , pleasant gracious . room large , well appoint , clean . far ' m concerned , place stay San Francisco Faimont Hotel ! 
 Nov 19 2009 	 great every aspect ! 	 friend stay basic queen room , already great , apart tear drape . good bed ever sleep , great appliance , nice storage space tastefull decoration . great bathroom well . spacious . good location San Francisco - hill great view close enough lot great restaurant touristic interest point . service also great . didn´t many request , always prompt answer they . definitely recommend one good place stay SF , specially consider value . 
 Nov 17 2009 	 Location key . 	 business trip San Francisco , stay Fairmont Hotel . 's historic room & quot ; old building & quot ; treat , although could use bit update comfort sake . , despite & quot ; old & quot ; feel room , location key Fairmont 's success . sit right atop Nob Hill , view truly incredible . 's easy get anywhere city trolly , not try walk hill heel . really special part San Francisco everyone experience . 
 Nov 14 2009 	 must stay ..... 	 second visit Fairmont . first visit stay tower room view city fall love hotel instantly . visit honeymoon book room type upgrade Bali Suite main building . initially worry view would good room would decorate old part since make effort recognise honeymoon do not want sound un - appreciative . anyway room huge get lovely view Red building infront cathederal behind . yes , hotel food / drink expensive know do not eat . ample eatierie around Cafe Centro good value . 3rd visit stay . lucky travel trade get good deal fairmont . 
 Nov 11 2009 	 Parthenon 	 hotel first class , everything bellman maid . view spectacular location perfect great San Francisco retreat . 800 company representitive function , knowledge problem . AWESOME place stay . certainly return fine establishment . 
 Nov 9 2009 	 anniversary 	 love visit favorite place - city Fairmont . clean , detail orient good location . walk distance China Town , Union Square . love nice room service . hotel perfect . 
 Nov 7 2009 	 wedding Night Bliss 	 husband spend wedding night Fairmont . fantastic . room , balcony suite , big apartment , panel wood , real book shelf simply lovely every way . desk people courteous call information room service work fireplace find light switch balcony ( hide ) , always greet & quot ; hello , Mrs. XXX , may help ? & quot ; excellent . the bed comfortable room impeccibly clean . location unbeatable , two cable car line meet top Nob Hill . the con minor , go mention here:1 ) hubby go check day wedding , room reserve nearly year advance . however , since go room later , manage put we Buckingham Suite - complaint there.2 ) order room service breakfast arrive , drink warm . despite iced container , milk orange juice warm tray . drinkable . also , not order orange juice , include anyway . yes , could send back ask send new drink , much hassle.3 ) fireplace not actually work . bit disappointing hardly huge deal . overall , happy stay . hopefully will able get suite honeymoon . live block away , stay Fairmont treat have look forward several month . aside minor item mention , excellent service . 
 Nov 4 2009 	 good hotel good location 	 's expensive relative other get pay . location unbeatable tram stop corner , be easy hop town bay . hotel opposite roof top bar get early queue ! 
