happy 	 hotel great location good prize ! room clean , breakfast simple good . People reception gentle , end 's problem ... 
 Nov 3 2009 	 great hotel location room noisy . 	 Grant situate great spot . remember walk hill time . walk china town easily centre . breakfast muffin coffee tea . could coffee tea day pay cuppa machine . i.e . cuppaccino , latte etc . the room even back hotel noisy . you hear trolley car night room . airconditione fan . 
 Oct 18 2009 	 San Fran - tastic 	 stay April 2008 , want go back ever since . staff friendly upon arrival , room pleasantly surprise . even though have research Grant look traveller 's photo , not expect good pay , especially compare cost hotel around Union Square . bed really comfortable bathroom , although slightly date , definitely job . ' view ' window brick wall , review would read , know expect . San Francisco wonderful city though , will not spend much time stare window , longing view . Grant excellent location - 2 block Union Square within walk distance financial district , Fisherman 's Wharf ( albeit long - ish walk ) hundred amazing cafe restaurant ! stay Grant , stay away Tenderloin district , will fantastic trip . 
 Oct 13 2009 	 Grant Hotel meet need perfectly 	 wife find hotel internet , bit skeptical & quot ; cheap & quot ; expect San Francisco . pleasantly surprised . like tourist class hotel . many amenity , need . fit need perfectly . great location . room large adequate . room view , leave hotel early get back late . would definitely consider stay . wonderful time SF Grant Hotel big part . 
 Aug 16 2009 	 good location little disapointe 	 stay one night . room ok little small . bathroom large , countertop . ask reception parking car , will get great discount ( parking quite expensive area ! ) . woman reception nice allow we get room early . less expensive hotel find still expect little . breackfast include , free doughnut muffin available ( orange juice 1 $ ) 
 Aug 4 2009 	 great hotel 	 stay Grant 5 night , July 12th - 17th . booked room early get nice response Karin . room 105 , back hotel ground floor . excellent ! ! room spacious clean . everything walk distance : cable car stop , streetcar stop Market street , 7 - eleven grocery , union square . upon arrival welcome direct room . 5 minute later bring fridge request . talk fast ! ! morning serve simple tasteful breakfast . cleaning do promptly . absolutely complaint ever . checkout breeze . stay one night intend lot sightseeing might worthwhile get Munipas . give unlimited use muni - bus , streetcar cablecar . single ride cable car $ 5 , munipas $ 20 7 day ! ! ! look good hotel not need 5 star Hilton stay Grant Hotel ! ! 
 Aug 3 2009 	 impressed 	 stay Grant Hotel look somewhere reasonably price heart San Francisco . indeed , location superb , minute away brilliant Union Square . suppose be unfit walk might pose problem hill bit steep , not problem people . we get quite late fall asleep soon get . room quite cramp , back directly onto another building , mean natural light ( picture ) . building could TLC , even 's fresh paint job , breakfast limit . cheap though , happy live 3 night , give location . however , follow night get , notice something have miss first night , quite long black hair bed . short hair , girlfriend long blond hair , clearly not . huge deal , go reception ask fresh sheet , guy reception insist not necessary bed clean every night . finally decide come inspect bed , point basically call we liar , even find several hair right front . eventually agree give we fresh sheet , fit . begrudgingly stay final night , have stay much long would search alternate accommodation , even mean sacrifice great location . location aside , can not think single positive thing say place . review seem largely positive , perhaps unlucky , personal experience , would recommend stay elsewhere . 
 Jul 31 2009 	 Great price hotel good location 	 ask quiet room give big room ground floor walk shower quiet . excellent location almost town close retaurant cable car . free internet access breakfast pastry fresh good variety . excellent value money . diner near call Cable Car Cafe provide great food realistic price - try banana splitalso wish visit Alcatraz book ticket line go fully book trip would want miss ! ! piece advice pack warrm clothe cold windy mid July . 
 Jun 15 2009 	 great location clean well price . 	 many hotel SF one really suit stay ( 4 night ) reasonably price . frill breakfast drink & amp ; doughnut . plenty restraunt close . easy walk downhill Market street transport , & amp ; get tram back wish . room clean window open fresh air , though noisy -which SF , ok . Union Square close by . not sure winter would go , noticed radiator bite sus air con . 2 computer free access downstairs lobby . Digital safe room . overal rate high due price , location cleaniness . 
 Jun 2 2009 	 great rate service dog friendly 	 reading review website , expect clean room clean bathroom . room clean much large lead expect review . stay 4 night never get accustomed radical slope floor . floor slop away outside wall rate ¾ inch per foot . window lock since room 5th floor ' see big issue . window also seal hear anything everything happen street . thing find unacceptable Grant find service dog , try tell ' stay hotel , pet , policy . try work help understand federal Americans Disabilities Act , service animal allow hotel . understand legal right stay , put great deal effort trying make move much less desirable room . politely refuse change room , staff simply scowl anytime go lobby . advice service animal want stay Grant good room value downtown San Francisco ; get room number assign prior check get bad room offer . ( convince legal right stay ) 
 Jun 1 2009 	 good stay ............ .... 	 stay 2 night Grant . fabulous location , room nice , roomy , clean , computer lobby use .. front desk helpful ........ ........... & quot ; little & quot ; thing bother . room really warm , thermostat control . could open window , traffic loud . buy small fan Walgreens make bearable . know picky , expect Kleenex hotel room , none . fridge , coffee maker . little thing one come expect hotel . budget place , frill . would go back ........... bring & quot ; stuff & quot ; , know ! 
 May 7 2009 	 excellent location good value 	 hotel ideal : excellent location 10 minute walk uphill Powell Street BART Station . easy access everywhere foot 2 cable car line . ask get room street noise . low season least one 2 free internet station downstairs always available . humble complimentary breakfast joke . however several breafast place around corner Powell Street , max 3 minute walk . 24 hour open early morning . I single traveller enjoy stay much . 
 Jan 9 2009 	 great location value use bit polish 	 Loved location lobby obviously update . however , room feel kind old ( bad comfort ) . one big flaw fact room strong smell clean chemical ( leave window open day ) . complaint service . 
 Dec 4 2008 	 Great Location Value 	 stay San Francisco time specifically look hotel area . it be location Union Square China Town ideal get see city attraction . parking available discount rate across street hotel useful pick car airport ( although worth note several hire company locate within area ) .checke fast reception staff friendly . upgrade big room give great view street , noise clean truck early morning not much problem . the room sparse clean large ' ve stay sf.the Quality hotel good price especially compare hotel block . I will definitely stay next visit SF . 
