high 	 hotel nice quaint room . stay one face park . not know suppose quiet side since trolley car busy street right . view lovely though . lot people stand around serve price . valet park . man stand outside rude not sure title condescend husband . valet parking attendant drive vehicle like 's drag race every time go get car wait long time find tip everytime . desk clerk fail tell we coffee downstair lobby 5 am 7 am not coffee maker room , microwave , refrigerator . 's room bed shower perk . want order coffee kitchen 's $ 13 tip delivery fee well plan go without unless want spend $ 20 cup coffee . also deliver ice want cold drink plan tip ice delivery . also tip door person , bell hop , housekeeping bring extra roll way bed etc . idea much end spending stay have stay midlevel hotel sure have least get cup coffee ! will not back hotel . unsatisfied lack amenity . hard include coffee maker room ? could not make $ 20 per cup guess . the pool spa close 9 pm well . never even see since go dinner city . one reason stay daughter like swim . child not allow pool 16 year old . 
 Nov 13 2009 	 Loved ! 	 hotel exactly want ! historic charm smell like aromatherapy throughout . room huge , almost like studio apartment ! quiet great area . complimentary use pool / hot tub / steam room wonderful relaxing ! business center second floor able use internet free huge plus . love hotel would definitely love stay ! get great deal hotel Expedia . book hotel flight together . 
 Nov 7 2009 	 nice stay . 	 stay 2 night Luxury Room enjoy . room pretty big nice sitting area . staff nice talk doormen front desk . hotel old classy feel . would stay without hesitate . 
 Nov 3 2009 	 truy special hotel 	 stay Huntington frequently come SF . family stay year good reason . be unique among small luxury hotel room different . need know room book browse site carefully inquire ' ve never stay . everyone 's taste vary , important know room decor room type prefer like Ritz hotel . know little investigate , will not disappoint . service excellent , elegant hotel lot history , location wonderful -- close everything near transportation . return January can not wait spend time special hotel . 
 Oct 29 2009 	 Great Hotel good location 	 room spacious airy comfortable . we breakfast dinner hotel good . service great - check valet parking make convenient stay here . very close good SF 
 Oct 27 2009 	 great hotel ! 	 zero complaint , check - in check - out everything go smooth . friendly people , good food , nice big room ( although furniture look bit worn ) , superb location . , highly recommend . price bit high ( be worth ! ) . 
 Oct 21 2009 	 Best Hotel San Francisco 	 stay final 2 day honeymoon aware Huntington lot live , have enjoy amazing hotel room honeymoon . champagne wait us room upgrade wonderful room arrival . room massive . great bathroom comfortable bed lovely lounge space too . the staff helpful nothing much . decor tasteful clientele friendly . spa amazing offer wide range wonderful treatment . great terrace eat lunch able check still use facility spa shower overnight flight back UK . handy business centre printer , could print boarding pass . free Wi - Fi ( $ 10 day charge ) good facility on - site want check online . we go Fairmont quick drink look whilst waiting room say - Huntingdon head shoulder every way . distinguish , classy , wonderful place stay . can not recommend enough although steep walk hill Union Sq , well worth effort ! ! ! 
 Oct 20 2009 	 Great Hotel superb restaurant wonderful staff ! 	 Great Hotel , excellent location , wonderful view bedroom window . bedroom large , kitchenette en suite bathroom lovely . staff helpful nothing much trouble . room service excellent . easy access local attraction use cable car . Hotel Restaurant superb wide choice menu . would certainly hesitation recommend Huntington anyone - really make holiday . 
 Oct 14 2009 	 can not recommend enough ! 	 beautiful hotel , gorgeous comfortable room . amazing bathroom - nice ' ve ever see . great view room city . the staff helpful friendly . always smile willing help get taxi , point right direction answer question . friendly touch - bottle water , little quote card night ... really make feel welcome . it be great location ( although hill MASSIVE ! ) Nob Hill definitely place stay . square hotel tranquil cable car stop nearby . thank magic internet , get great bargain too . can not recommend enough gutted leave ! go back San Fran , would definitely stay . 
 Oct 10 2009 	 nothing special top hill 	 reserve room SLH website , SLH club member entitle one availability base upgrade . arrive , front desk mention get upgrade , see room , one big disappointment : despite respectable size , room date , well furnish nice & quot ; touch & amp ; feel & quot ; . even room chain hotel character.bell staff however outstanding , concierge lack interest guest ask seem & quot ; contact & quot ; one needs get reservation top restaurant . quite disappointment SLH hotel ... luckily option like Mandarin even Mark Hopkins Club floor room much well ! 
 oct 9 2009 	 Old school luxury top hill 	 hotel lovely spot opposite cathedral top hill fantastic view - quite walk back town ! get quite good price webagent hotel take cash booking do . couple email via agent refunded apology . result ( think ) get upgrade deluxe room suite arrival . 10th floor amazing breathtaking view city . look picture website though do not think refurbish . perfectly fine spacious little old fashioned n decor . full living / dining room relax great . criticism would room bathroom , perfectly clean functional standard would expect suite . also mini - bar coffee making facility would nice . the staff great although check functional , give information hotel eg . restaurant spa availability etc . restaurant food excellent although sometimes little overcomplicated . restaurant / bar old fashion though . think dark wood panalle green glass lamp . early thirty bring average age 40 year ! not try spa price treatment extortionate . overall good hotel probably would appeal mature traveller . 
