helpful 	 decent location access many part city , breakfast keep full lunch beyond helpful friendly staff . stay extra three night - second room lot nicer first . first little small not outside window . second comfortable , nice view street spacious . nice lobby . 
 Oct 27 2009 	 great deal good hotel 	 reading review , hesitant booking . choice limit , . pleasantly surprised . clean , nice entrance foyer , friendly staff , comfortable bed / room . complaint . hotel old help give character make . smell problem read . expect 4 star - expect 3 star Opal San Francisco . location problem . everyone want ride trolley anyway , turn right hotel walk short block California St. trolley start take fun ride straight Union Square . go anywhere . like high end hotel available time visit . Opal San Francisco nice alternative . 
 Oct 23 2009 	 crook low class hotel 	 book 3 night Opal Priceline prepay 3 night . could not make hotel first night stay flight SF cancel due weather . arrive hotel 2nd night , resold room already pay ! scramble find we room finally give we one back hotel outside entrance , basically motel room . the area extremely noisy ; wake night due imagine garbage trunk . room old stuffy . breakfast fruit toast try put away 9am even roll around . I would not recommend dump anyone . 
 Oct 21 2009 	 's high - class hostel - hotel 	 book Opal Hotel Hotwire.com . prepay three night , dangerous , smelly otherwise uncomfortable condition prompt decision stay one ! 's story : hotel present hotwire.com two star hotel various amenity include gym , free breakfast , free in - room wire lobby wireless internet . expect much two - star hotel , final booking end cost short $ 150 per night - many year booking always lead clean , safe relatively quiet hotel obviously inexpensive . Opal Hotel smell dirty , definitely safe loud ( noise street , hotel ) - feel betray Hotwire.com send terrible place . ever see scene Big ( star Tom Hanks ) check hostel / hotel cry sleep bed ? similar - first time ' ve experience stay use hotwire 7 year ! 's timeline:10:00pm - wife arrive address . least two three vagrant side build . circle building find parking lot entrance , guard one vagrant obviously influence . signage , push small button speak hotel employee slur guest entrance want use bathroom . tell we cost parking ( $ 30 / night - standard San Francisco ) , gate open . vagrant follow car , would leave immediately parking lot look ominous entrance lobby not clear . btw - ' m LA , love downtown urban center , know difference well - mean homeless person vagrant . guy drug , drunk scary . 10:05pm - vagrant politely stand outside gate ( though understand hotel staff enter ) , yell direction we also ask money . wife take circuitous route carry luggage flight stair , motel parking lot portion & quot ; hotel , & quot ; beyond cramp gym poor exercise equipment , musty smell elevator loud level bell . finally enter lobby proper greet curt gentleman promptly check we in.10:10pm - trip another musty elevator , walk hallway beyond another elevator , find room . 's criticism stay one night:1 . bit small size ( even San Francisco ) , well size room ' ve . bad respect . 2 . shower / sink water never get beyond warm , bathroom cramp , top bedspread look stain - move bed though.3 . window treatment ( cover view another building - though , big deal SF ) worn.4 . television image sound cut walk near it.5 . feel itchy walking room . ' m glad not get bedbug room previous reviewer get ! 6 . air conditioning unit blow directly onto bed - lead feeling cold , AC turn , hot . AC also click bit turn off.7 . annoying sound elevator bell go every time pass floor - think sound service bell make go right outside normal ( sound proof anything ) door . also tenant employee room we STOMPING floor every five minute ( though pass back forth bathroom otherwise pace ) . see hotel 's client , would think drug may influence upstairs neighbor 's behavior . check front desk , politely firmly say could move we room anything else help us.12:00am - knew not go get good sleep , feel stuck hotel night . go online begin look place stay follow day - could survive another night.9:00am ( next day ) - vagrant largely go next morning ( thought drive next night return ) . tell front desk check early employee already seem know go . instead ask could help , simply refer we hotwire.com refund . bottom line : book $ 50 / night one star hotel , would satisfied . place feel like hostel private room . ' m frequent traveler would prefer stay roadside motel - place bad vibe . Hotwire.com hotel charge $ 100 / night suppose two star hotel outrage . send complaint Hotwire request refund two night stay , say would take 5 - 7 day investigate matter get back . 24 hour later respond , generic $ 50 credit next booking . address specific complaint provide obviously not take time investigate . disappoint service obviously disappoint stay hotel . hotel could take simple step improve experience - disable elevator bell hire security guard would go long way . , not stay think twice book hotwire.com . feel rating price misguide well - greedily design bad . 
 Oct 12 2009 	 delightful slightly center place stay 	 love stay old hotel little personality leave . Opal fit bill perfectly . decor modern mean serviceable tasteful . room large comfortable could use table couple chair window . lot foreign guest add ambiance . the location outstanding . want rent car since want see San Francisco offer . six day visit suggest site easily . main bus route right front door cable car four block away . get everywhere want go quickly easily , 8 11 pm . Tommy 's , restaurant across street , miss Mel 's Dinner right next door . light breakfast available day , fill need coffee toast much else . start half day stay . for central location , non - cookie cutter experience , helpful staff , good food immediately available . strongly endorse Opal . top everything , less $ 80 buck night . 
 Sep 21 2009 	 Value money 	 spend last night Opal return England . think $ 99 inc Tax offer value money . complementary breakfast varied expect . Friendly & amp ; helpful staff . free coffee lounge area day & amp ; free Wi - Fi . would stop encounter bed bug . 
 Sep 18 2009 	 Convenient locaton 	 stay August . room ok nothing fancy space ok put baggage , bathroom old - fashioned light bulb 's clean though . however , one day come back outside , room door close . 's probaby clean person not close door good , he / she also open window wide several fly fly room ! Yuck ! check belonging everything still . fortunately room end hallway probably nobody notice door open . the breakfast basic good start day . Bread , Bagels , butter , jam , cereal , juice , fruit . lady good take care breakfast area cleaning see people spilt coffee fill bread coffee quick . 
 Sep 13 2009 	 terrific value good location . 	 true room somewhat small . need remember hotel build 1908 2009 . lot less furniture item hotel room day . opinion hotel beautifully restore . room comfortable practical . everyone contact front desk several service people friendly helpful . yes pay parking . hotel offer substantial discount AAA . need remember San Francisco large city parking premium plan budget . honestly say enough good thing hotel . definatley plan stay future trip bay area . 
 Sep 6 2009 	 dirty smelly room bad location 	 upon arrival & quot ; Opal & quot ; immediately notice , appear , prostitute , drug dealer pretty scary surrounding . check , parking state online , , room book advanced two double bed .... reach room , like go maze , even housekeeper hard time finding , enter room one king size bed . call front desk , say booked king .... not another room , offer roll away bed .... room small claustrophobic , not know could get rollaway bed . room one small corner window view air conditioner duct excape route filthy , room smell like pee musty carpet . sit bed , immediately start itch ... decide time go ! not let nice lobby fool , pretty scary . offer refund , leave also scary parking lot greet , obvious prostitute drug dealer would feel safe , 
 Sep 5 2009 	 Pleasant Stay 	 first impression hotel good . front desk staff helpful pleasant every time speak . room quiet , clean spacious . bed comfortable . although homeless people street nearby , cause problem . Mel 's Diner next door , provide good value food one evening meal . would recommend Opal anyone visit San Francisco . 
 Sep 3 2009 	 great location friendly staff excelent value 	 live Playa del Carmen , Mexico , manage small hotel together wife . everytime travel , try find similar situation price , location service . opal good option , visit name La Quinta . really enjoyie stay , strongly recommend place one like sleep comfortable room , clean safe , large day Bay . get really tired San Francisco ! italian Carlo , mexican concierge other smile back , feel home . large crowd young italian ask Carlo , manager , always ready help repeat whattodoe , breakfast resist assault important number international national guest afraid spending dollar budget noon ... good internet access available cost room , like cable Tv big clean bathroom . could happy room safe and/or fridge , instead iron facility gently ignore . Al together , would highly recommend great hotel thank staff friendly help ! 
