great 	 huge waste money ! think Starwood Hotel would nicer end . first night ok , little could heat cool room comfortable . could leave air keep fresh air circulate blow head night turn suffocate room dead air . fine line AC heat . expect bed would caliber Heavenly Beds Westin . ! bed awful feather bed pad crunchy . exactly want lie . feather one thing , feather quill another . make bed super hot thick , hot duvet use . San Francisco , Siberia . bit overkill . second third night get pleasure listen yappy dog night long dog not bark owner busy yell . wall thin cheap could hear every single word conversation room next we . call complain dog , lame story owner not suppose leave animal unattended come get send bagel coffee breakfast apology . thank , sleep would preferable bland cream cheese send bagel . call 3 time complain dog bark . give option move , pack family move idiot can not leave dog home . Dogs not baby , can not tote restaurant store . need stay home . disappointed W allow people bring dog ruin everyone 's sleep . lose business good . will back Westin . 
 Nov 24 2009 	 much well places- Keep look 	 frequent traveler depend upon tripadvisor , till never write review here . I travel month long road trip vacation , stay many Starwood Properties across western US Cananda . stay 1 night , pllane stay long call SPG ask move . this hotel bad W ever stay . ( stay 100 night Starwood Properties . ) , go chek around 4 p.m. , tell room ready . go wait bar ( spend money . ) get room key 1 hr later put low floor small room . call desk inform Platinum Member ( mean 25 night year + ) say well ... humm , Labor Day weekend Hotel not look half full . no free water int room platinum member , oh well . ITiny Room . go take shower , dry prepare dress housekeeping enter room without knock .... not mean flash housekeeping staff , happend . put deadbolt someone try use key card enter again . after dinner return room . look & quot ; whatever , whenever & quot ; Menu notice movie dvd use guest , go list select couple . go front desk request , state not movie anymore one return . recomede purchase PPV movie television room , dollar hotel . that evening call SPG ask move different hotel . inexpensive hotel , find get gouge , Platinum SPG member evpece . would stay ... never ! ! 
 Nov 16 2009 	 Smart hotel avoid bedroom near lift . 	 stylish , modern hotel convenient , city - centre location . spacious , well - equip room comfortable bed spectacular view . avoid bedroom near lift ( sorry , elevator ) , sleep disturb frequent whining noise . 
 Nov 14 2009 	 W SF : always great service atmosphere staff 	 travel SF month stay W SF . staff always helpful , customer service great , room spacious spa experience fantastic 
 Nov 6 2009 	 W get b 	 w something right . trendsetter popularize boutique hotel , w tame side progressiveness , ' tell mob lobby . hotel conceive home away home , think W nightclub bed upstairs . moment walk ( regardless hour ) ' envelop thump - thump - thumping music , organic lounge seat area beg check ' , shortage hipster collectively turn check pass door dismissively return small talk . ' get Westin across street . in San Francisco , W always relevant location . stay directly across Moscone , convention ' simply well place . dichotomy badge - wear conventioneer twentysomething little awkward , make interesting social mixing . ' go boutique , ' put W SF several rung Hudson NY Delano Miami Beach brother . remain homey , however , stark modernism new St. Regis next door intercontinental one block . room work . smallish ( surprise ) , residential quirky expect . like playful accessory – foot massager desk ( every hotel one ) , glow Buddha , kaleidoscope , bench run width room along window block wood step , wealth stationery thing clever phrase . bathroom fine – like Bliss product – tangy without silly . bed heavenly expect . hand , plantation shutter make absolutely sense city hotel – ' stick blocking view middle window open , ' black light , ' pain ' sit bench presumably try look window fantastic skyline . clock radio cool good – prefer digital clock correct time read dark instead 50 ' style form - follow - form piece . room dark turn light ( Buddha ) require reconnaissance necessary . finally , $ 14.95 internet access Downtown San Francisco frankly insult Steve Jobs everyone else make Silicon Valley - even B & amp ; B Vermont give free day . guy , charge another buck bar to . downstairs , food good restaurant price reasonable , fitness center serviceable , pool welcome surprise kiosk print boarding pass handy . service fine , nothing exceed expectation disappointment either . free Acura shuttle perhaps memorable part stay , sweep away outstanding greek restaurant dinner - Kokkari Estiatorio – splendid lamb chop . one recommendation w change music morning ' feel like hangover Vegas ' come elevator . all , pretty seamless stay . reliability Starwood corporate standard touch edginess young young heart . 
 Nov 5 2009 	 W San Fran 	 Hotel nice . hipster side W hotel . not like pay go lounge hotel guest . room small . 
 Oct 26 2009 	 much well anticipate 	 spend 4 night girl 's trip around California . standard twin room much large anticipate enough room 3 we . room clean service ok . particularly like Bliss Spa product room ( fan anyway :0 ) . House keep good , concierge helpful hotel Bar apparently trendy ( something would notice ! ! ) , would recommend hotel location room . not stay hotel SF price pay reasonable enjoyable . 
 Oct 19 2009 	 cool school 	 husband fan & quot ; W & quot ; hotel . stay five night hotel receive quality service one would receive medium price hotel . disappoint service front desk , seem cater big spender vs. average person , find offensive . room small furnishing cheesy . class hotel . nice feature hotel Acura experience . loved feature driver associate great . day checkout , look bill charge breakfast never eat . agent seem suspicious question . tell never eat pull bill say show sign , pretty scary since not socialize anyone hotel . eventually take bill , like folk say , not check bill supposedly swank well run hotel . , look bill carefully ! also , downer include high speed internet . young hip crowd expect get internet free . overall , impress $ 500 + night hotel offer little amount money . never stay , sure husband : ) 
 Oct 10 2009 	 always enjoy W 	 Earlies comment room ... slat drape not keep light fully , glass slide bathroom door not leave much privacy ..... 100 % markmusic pume 7 go get coffee ..... also 100 % true . $ 45 4 hour parking .... 100 % truebut guess W do good job brand becasue always enjoy . great 3 night . room clean , bright spacious . staff friendly helpful . 
 Oct 8 2009 	 Served need ... almost cool school . 	 stay week attend friend wedding . stay LOADS starwood hotel I m quite sure & quot ; W & quot ; brand ... seem like try bit hard cool . room roomy enough SF , nothing complain decor condition room ( nothing rave either ) . staff friendly- even let roof great view electrician happen speak elevator neat . good thing hotel perhaps Acura car- would take anywhere city free ( w / in 1 mile not enforce ) consider actually hard catch cab hotel sometimes great bonus . oh ditch car- $ 40 day park ... do not really need one SF anyhow ... trust lead frustration native : ) . downside place across street convention centre- great convention ... great . seem hot spot mid - day , afternoon , evening drink people centre mean bar/ entire lobby area ALWAYS pack people .... week stay unfortunate luck get 2 drink spill try get hotel ! overall think brand try bit hard . stay Place hotel SF last time would totally stay W . 
 Oct 8 2009 	 great trendy hotel although focus clearly much big spender guest 	 w trendy hotel well locate beautiful room . also make effort leave drink snack wait check . warn concierge focus impress big spender helping find charming dinner restaurant . 
 Oct 8 2009 	 contemporary sanctuary 	 W Hotel hip , trendy accomodate place stay . room small comfortable . staff attentive willing go extra distance need . love ride W experience Acura . driver nice polite 
 Oct 8 2009 	 wonderful Funky Hotel 	 stay W San Francisco one night business trip really enjoy hotel . first stay W property definitely young hipper feel Starwood hotel . hotel staff friendly hotel room seem clean overall . my room stylishly , yet comfortably decorate . nice king size bed , large desk area , flat screen tv , closet , window seat bridge view . room nice size , huge . make room size add build desk tv hang top . room 's window seat unique touch . room , like hotel overall , funky hip decor touch like glow color change Buddha lamp , kaleidoscope , alarm clock radio ipod dock . bathroom clean good size trendy decor well . however , bathroom door make frosted glass slightly see - through not lock . fine since travel alone , may inconvenient people travel friend kids .I like hotel much well Westin St. Francis ( another Starwood property San Francisco ) . St. Francis cater much old crowd W. Overall , really enjoy W hotel like funky decor . would recommend hotel business , couple , young ( young heart ) traveler . 
