absolute 	 travel , stay White Swan Inn , San Francisco , perfect . staff always extremely attentative helpful . hotel 's ambience surpass other . beautifully appoint room antique , fireplace lot extra ammenitie . inn centrally locate important SF site . everytime opportunity SF , always stay White Swan Inn . price value beat . honestly think thing would made stay well . 
 charming boutique hotel 	 wife spend 4 night attend conference . location excellent , minute Chinatown Gate Union Square . staff helpful friendly . multicourse hot breakfast pleasant surprise , usual muffin coffee . room comfortable , well appoint , fireplace welcome SF night cool foggy . would gladly stay again . PMM Michigan 
 Nov 23 2009 	 terrific- need 	 great hotel - good location , reasonable price comfortable 
 Nov 20 2009 	 Fun / Different / Quirky / Loved ! 	 usually stay large chain hotel , bit diversion we ! ' m actually Travel Agent often stay Fairmont property , interested would think ! 's unique - love elevator ! be old , rattle , 's much fun - free cookie lovely , take stair , elevator exciting turn ! hotel extremely quaint , full character , try create English B & amp ; b feeling do well ( be originally UK ) . room big expect , nice fireplace could turn switch bed , talk bed , amazing comfort level give we great night 's sleep . breakfast fresh , good choice , nice surrounding - lady work not stop replenish food , everything always fresh . great location , close downtown , think well stay Fisherman 's Wharf area . staff friendly , always smile , give we fabulous advice eat - take interest do day , eat , seem pass future guest . not expect Room Service , Swimming Pool , Air Conditioning - hopefully feel unique character hotel , include 's room , nice friendly level service staff offer - like we , good night 's sleep hotel ! would definitely stay ! 
 Nov 19 2009 	 GREAT INN - GREAT location 	 read Trip Advisor early year , decide book White Swan Inn conference hold San Francisco October 09 . arrive late night first impression neighbourhood not great . however , light day fine find way around , certainly central everywhere want go . we large bedroom , dress room , great get early morning . room well appoint , clean well keep . enjoy breakfast , save time get morning . quality food excellent surrounding same . the location close cable car also Union Square . thoroughly enjoy visit San Francisco stay White Swan excellent staff make event even enjoyable . would recommend hotel other , cookie cutter hotel rate good . 
 Nov 19 2009 	 Hate ` ` English Inns '' White Swan we ! 	 not usually like english - style inn ( least US ) . not like floral wallpaper . not like antique carpet . somehow , end love experience White Swan . take chance base Tripadvisor , along good special Joie de Vivre hotel offer - yes , White Swan part boutique chain , quite unlike ( modern ) sister hotel . I agree previous reviewer great staff , convenient location , good - sized room ( San Francisco ) , good breakfast , fresh - bake cookie every day ( different variety , definitely tub cookie dough ) , free soft drink , fireplace room , wi - fi work throughout stay ! us & quot ; total package & quot ; White Swan unique charm , slight quirkiness , well imperfection ! not want overly personal attention small B & amp ; B , also blandness large modern hotel . feel could retain privacy , yet also feel welcome socialize guest - perfectly okay . could tell staff genuinely like work friendly pride , way interact guest importantly - way treat . feel comfortable - home , yet well take care - hallmark great hotel experience ! 
 Nov 14 2009 	 hotel ! 	 wonderful hotel , 2 block Union Square fantastic access everything need San Francisco ! room clean , comfortable decorate wonderful standard - afternoon tea breakfast delicious staff helpful , friendly could not enough . want perfect city break would recommend hotel everytime ! criticism wi - fi not work room assure temporary problem . 
 Nov 7 2009 	 great LocationClean Comfortable 	 husband stay White Swan Inn three night early Nov. little apprehnsive arrive stair lift werea bit cchallenge however warm tothe quirkyness really enjoy stay . husband trouble internat connection Darren front desk really helpfull getting sort . room clean trhe bed comforatable location excellent . also seperate ' dressing room ' fabulous . there airconditione prone getting bit warm may problem hotel reasonably price , clean really well locate . however ias modern big flash hotel warm enjoy stay . 
 Oct 24 2009 	 Great Little Guest House 	 Quirky room , excellent bed . Room let date shower . breakfast afternoon wine & amp ; nibble create really friendly atmosphere meet fellow traveler . whole feel English Guest House . complementary soft drink fridge room welcome day explore . location quite central entrance chinatown bottom inevitable hill . will love stay White Swan Inn . 
 Oct 23 2009 	 White Swan Inn : Confused Target Customers 	 White Swan decidedly mixed bag . one hand , luxury king room spacious fireplace dressing room ( see picture ) . complementary beverages refrigerator . desk clerk polite helpful . evening wine cheese lovely touch ( although cole slaw definite first accompaniment -perhap 's english thing : ) breakfast buffet include variety food meet taste server slow replenish item -include coffee -- two three morning late put item . hotel lack air conditioning forewarn San Francisco experience warm weather , , roast room . fan provide choice remain -street noise uncomfortable warmth . hotel conveniently locate lack porter assist bag arrival way around stairs entry . hotel people impair mobility . victorian decor pleasant enough towel bath amenity suit budget motel & quot ; boutique hotel & quot ; . one morning , maid leave washcloth room . seem exemplify spotty nature service hotel . sometimes great , sometimes awful . all , husband agree hotel confused target market . 
 Oct 21 2009 	 Charming tired ? 	 book glow review describe White Swan charm little inn . ' m afraid 's tired need serious scrubbing update . location pretty good within walk distance Chinatown Union Square . seem safe night surround area . staff friendly helpful . downstair area - breakfast afternoon reception hold homey . appreciate afternoon reception , provide coffee , wine , grape , cheese , cracker , cookie . unfortunately , control temperature , old carpet , peel paint , bathroom need serious renovation , front door handle feel like could rip door slight tug , ... charming smell ? other gush breakfast . ' ve come expect well Hampton Inn . really want like place , not . ' ve often pleasantly surprised small inn B & amp ; Bs ' ve past . , will not back one . 
 Oct 14 2009 	 Great Bed Breakfast City 	 spend 4 night White Swan - first trip San Francisco , want see much possible . staff ( young ) extremely helpful right first , arrive well check - in . White Swan centrally locate Union Square , within easy ( although hilly ) walk distance many attraction . room , although old , clean large , include gas fireplace . finally get cool enough last day use . complimentary breakfast not vary much day day , offer lot variety . especially enjoy wine hors'doevure ( sp ? ) evening , opportunity talk traveler . generally use stair ( quite hike ) elevator appear antique , although service one day . , enjoyable experience White Swan , visit SF , would definitely stay . 
 Oct 12 2009 	 Hidden gem san francisco 	 hotel convenient location staff really friendly . room really cute comfortable . fridge stock complimentary soda water - really nice long day tour city . breakfast morning plenty item choose really good . 
 oct 8 2009 	 amazing hotel amazing people amazing location ! 	 wonderful experience would recommend highly ! beautiful room attentive staff . top , wonderful breakfast every morning include stay . the entire expereince may feel welcome , plus give opportunity meet greet guest . great way find 's not sight seeing ! 
 Sep 30 2009 	 hard beat ! ! 	 husband , adult daughter stay Ashley Suite 3 night September . check early , welcome extremely friendly staff , make room available - continue whole 3 day - nothing much trouble staff hotel . room , although little dark even gloomy , comfortable . enjoy separate bathroom kitchenettes suite , water pressure fantastic , amenity bathroom high quality . breakfast , consist fresh fruit , hot porridge , cereal , egg , bacon , sausage , toast , etc , superb , 5.30pm & quot ; happy hour & quot ; hotel provide complimentary red white wine nibble guest enjoy whilst sit comfortable armchair front fire , chat experience . coffee , tea cocoa available dining area time day , fresh cookie daily lobby . completely ruin subsequent stay hotel , not measure White Swan - absolutely recommend lovely hotel care attention guest . 
 Sep 28 2009 	 comfortable 	 nice place stay city . Minutes Union Square . room comfortable clean . dining area cozy relaxing place enjoy cup tea . my disappointment inn breakfast . Labelled & quot ; gourmet & quot ; , achieve status . kitchen staff friendly , food restock slowly . scramble egg , sausage quiche along muffin pastry . yoghurt upon request . the food ok inspire . the room clean spacious . front desk people cordial . 
 Sep 24 2009 	 Central Location 	 stay three night September . ten minute walk Union Square two three block jump trolley . trolley lot quieter night chance get . hotel old english charm , room spacious comfortable . fridge room complimentary soda . continental breakfast supply wine cheese five half six . staff friendly helpful . 
 Sep 14 2009 	 great location service 	 husband stay hotel trip California May 2009 . room quite big comfortable gas fireplace . San Francisco city lot walk , find place well centrally locate . breakfast good tasty take we time : " rush morning hour " wait employee re - fill plate buffet . wait quite pleasant ' vacation hurry anyway . love service – receptionist helpful supportive . all recommend hotel . 
 Sep 7 2009 	 wonderful charming little hotel 	 stay three night honeymoon one loveliest hotel ever stay . staff fantastic , room great , love breakfast afternoon wine reception . would recommend anyone , especially prefer small intimate hotel rather one big chain ! Booked Hotels.com pay £ 60 King Suite big room seat area fireplace , great value money ! ! ! 
 Aug 30 2009 	 Delightful Surprise ! 	 unlike friend , prefer modern property . however , delightfully surprised charm property , cleanliness friendliness staff . love old Otis elevator bring we floor English Country charm . staff helpful need direction . also , breakfast changesdaily afternoon & quot ; Happy Hour & quot ; save we food purchase . the location far transportation . learn take cable car last steep hill . would definitely stay future visit . 
 Aug 26 2009 	 good location large room helpful staff inc . breakfast p.m. snack 	 Located Union Sq & amp ; Nob Hill . room large sit area . Place feel like British B & amp ; b . great breakfast selection . serve tea , cake , wine , cracker afternoon . 2 blk cable car 4 blk bus # 30 provide access major site . staff helpful . hotel hilly area busy street . room quiet window close noisy window open . 
 Aug 25 2009 	 huge room old fashioned style central location 	 get king size bed huge room 5th ( top ) floor gas fireplace couch $ 200 / night , great deal . gentleman behind front desk intelligent helpful , provide accurate dinner option advice . vintage old fashioned elevator cool . walk mason st . trolley turn - around morning easily order beat crowd . want hang bar lot different local option tap head marina area night , option area ( lounge - type irish pub style union square ) . coolest thing san fran : bike across bridge ( blazingsaddles.com ) . place also make trip special .. 
 Aug 20 2009 	 Refreshment Relaxation Sweet Rest 	 & quot ; escape Hurricane Rita & quot ; drive Monterey San Francisco Sunday July , husband arrive White Swan Inn need refreshment , relaxation sweet rest . three provide hospitality staff , afternoon wine cheese comfort surrounding room White Swan Inn . Inn recommend friend everything say would . able lie bed flip switch light fireplace across room & quot ; ice cake . & quot ; Eric , Mary , incredible staff make stay White Swan inn truly enjoyable . thank memory ! 
 Aug 17 2009 	 quaint charming inn great room food 	 White Swan Inn attempt replicate old english country house - sometimes result comically top decoration unnecessarily rickety feature ( like elevator ) despite eccentricity inn fabulously comfortable . free breakfast delicious homely ( though could little variety one day next ) rate also include wine reception afternoon . room spacious , comfortable 4 - poster bed romantic fireplace . would recommend romantic place stay san francisco , please not think England really like ! 
 Aug 15 2009 	 White Swan Inn treasure 	 White Swan inn terrific location ( outside Union Square Chinatown ) charm respite bustle city . besides reasonably price , delicious breakfast include cost , well complimentary red & amp ; white wine assortment hor d'oeuvres evening ! also always coffee tea available different homemade treat day ! be well ? mother stay 3 night August . complaint would room air - condition room street . hot one night noisy three . ear plug trick . give we good fan muffle sound cool room pretty well . everyone work friendly helpful , too . all , hope opportunity return one day ... will request room back ! 
 Aug 13 2009 	 fantastic boutique hotel 	 wonderful find . White Swan great respite center city . block cable car , short walk shop Union Square , location terriffic . staff pleasant , helpful courteous . room large cozy ; fireplace come handy cool evening . bed large super comfy . enjoy wine taste breakfast great - fill plenty tasty option . complimentary beverage in - room mini - fridge nice bonus . family friendly great value - could want ? 
 Aug 11 2009 	 Loved atmosphere 	 first trip San Francisco , choice hotel overwhelming . base review value , choose White Swan Inn . perfect choice we . the hotel old european atmosphere pleasantry galore ! spacious bedroom fireplace , bathroom , dress room , even small bar area room fridge stock complimentary water soft drink . personally feel right home book several shelf room . bed comfortable cozy . the afternoon wine reception perfect ; wine choice appetizer , fruit , pastry . breakfast terrific quiche , sausage , pastry , homemade oatmeal , . lovely sitting room perfect mingle guest relax . convenient cable car block chinatown . valet parking , ( turn rental car early not use . ) one suggestion .... request off - street room bother noise . love sleep open window , second night close one close bed use provide fan minimize street noise . work perfectly . very friendly helpful staff . hotel memorable part San Francisco experience . 
 Aug 10 2009 	 Perfect comfort hospitality 	 room large , beautifully keep , nice gas fire , sit area , window seat ! large bed . staff could not nicer helpful . lounge wonderful place sit talk read , great snack wine happy hour . recommend place highly . Miriam 
 Aug 7 2009 	 Feelin Special 	 ever want feel truly special like distinguished guest , stay White Swan Inn . everyone make feel like guest stay . restaurant recommend try know talk . say LOVE stay . 
 Aug 6 2009 	 delightful cozy hotel 	 stay White Swan delightful experience . room clean , large , well decorate european style . bed comfortable fireplace bonus . first floor area provide great set wine taste full buffet breakfast surprise give wide variety food quality . area decorate like library den lot wood , fireplace , comfortable chair sofas well selection board game book curl . outdoor seat patio available . 
 Jul 13 2009 	 fantastic boutique hotel conveniently locate near Union Square 	 spend 4 night White Swan Inn sister another girlfriend . stay Ashleigh Suite comfortable , big cosy . the staff friendly helpful particularly sister trip visit see Redwood tree hobble room knock door reception staff appear band aid , scissor , tape etc . they serve drink every afternoon parlour chance meet guest exchange tip sightseeing etc . end go dinner guest great night . breakfast good plentiful . there lot great eating place walk distance hotel . would definitely stay go back San Francisco . 
 Jul 6 2009 	 fantastic room amazing service great price true gem SF ! 	 wonderful hotel super location ! request king room back build overlook garden time Bush St.can bit noisy non - city people . get free upgrade king suite back Joy Life Club member . quiet peaceful . room huge fireplace alcove minifridge coffeemaker , historic building build studio apartment originally . recommend king suite dressing room sink walkin closet make easy 2 get ready . downstairs , breakfast room , living room w / fireplace , library tasteful English lodge style , stuffy . Breakfast ( include price ) amazing , fresh fruit , scone , sausage , homemade quiche bread , whole grain cereal . complimentary afternoon wine beautiful cheese canape tray ( mention homemade cake / cookie lobby ? ) . sit fire go garden deck - flower tree heart downtown . friendly , helpful staff call cell phone 1 minute drive away say find husband 's I - Phone settee ! can not wait go back White Swan ! 
 Jul 4 2009 	 wonderful place spendfour night great city San Francisco . 	 visit San Francisco wife old daughter May 27 - 31 , 2009 privilege stay White Swan time . purpose trip attend Seminar Hotel Nikko ( preferred stay White Swan rather host hotel ) . pleased service receive stay . first foremost , Andy go way assist we . know Andy many year , stay Petite Aurberge many time many year . also treat well Eno , Anne Brian . wonderful feel wonderful employee asset hotel . hospitality White Swan superior . room attractive comfortable . enjoy food . look forward visit San Francisco next May plan stay either White Swan Petite Auberge . 
 Jun 26 2009 	 Perfect Hotel Business Leisure . 	 wife two teenage child spend two night White Swan vactation Bay area May , 2009 . love quaint european - style suite fireplace room period decor . rate reasonable , complementary breakfast wine reception great . kid love . arrival , staff could helpful us restaurant reservation general tourist advice . hotel perfectly situate near Union Square , China Town Cable Car line . look White Swan next time ' m San Fran . 
 Jun 26 2009 	 beautiful room w / fireplace free breakfast 	 stay White Swan inn many time stay wonderful . room large comfortable , antique book sprinkle throughout room . staff wonderful grace expertise . bed comfortable want take mattress home , would fit luggage . wonderful total relaxing experience , food , staff , furnishing , location . highly recommend . a+++++++++++ . original recommendation we come White Swan Inn thru travel agent . 
 Jun 26 2009 	 charming little hotel great service . 	 pleasure spending three day White Swan Inn San Francisco early June . great place ! ! 's small , quaint hotel tuck one side street downtown area . easily within walk distance trolley line hundred shop restaurant . staff pleasant helpful get direction make recommendation thing see . hotel closely resemble bed breakfast hotel , charm place early era . be take number , large hotel scene , place . 
 Jun 25 2009 	 Great Location experience 	 great time White Swan Inn . service staff go way make sure well treat . room nice location well . 
